Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
cancun,0.5,5000000,-,1830000,1.43,-,-,-,1830000,1500000,1500000,2240000,2240000,2240000,1500000,1500000,1500000,1220000,1500000,1500000
planet hollywood las vegas,0.23,165000,-,110000,0.93,-,-,-,135000,110000,110000,135000,110000,135000,90500,90500,90500,90500,110000,110000
cheap plane tickets,0.98,823000,-,450000,1.49,-,-,-,550000,450000,450000,550000,550000,550000,450000,450000,450000,450000,550000,550000
cheap airfare,0.97,9140000,-,5000000,1.38,-,-,-,5000000,5000000,5000000,6120000,5000000,5000000,4090000,4090000,4090000,4090000,4090000,5000000
mgm grand,0.31,450000,-,301000,0.5,-,-,-,301000,301000,301000,368000,301000,368000,301000,301000,301000,301000,301000,301000
bali,0.39,7480000,-,673000,1.9,-,-,-,-,-,673000,673000,673000,823000,673000,673000,673000,673000,823000,673000
midwest airlines,0.47,110000,-,110000,0.45,-,-,-,40500,40500,40500,60500,49500,74000,60500,90500,135000,201000,201000,246000
carowinds,0.19,135000,-,135000,0.43,-,-,-,301000,246000,201000,110000,60500,49500,40500,40500,135000,135000,165000,246000
punta cana,0.5,2240000,-,673000,1.19,-,-,-,823000,673000,673000,1000000,1000000,1000000,550000,550000,550000,450000,550000,550000
luggage,0.54,11100000,-,4090000,1.08,-,-,-,5000000,4090000,4090000,5000000,4090000,5000000,5000000,5000000,4090000,4090000,4090000,4090000
disney world tickets,0.88,368000,-,301000,1.28,-,-,-,368000,301000,301000,450000,368000,368000,301000,246000,246000,201000,246000,301000
panama city beach,0.49,823000,-,823000,1.48,-,-,-,1500000,1000000,823000,1220000,1000000,823000,368000,368000,368000,450000,673000,1000000
royal carribean,0.46,550000,-,246000,1.1,-,-,-,246000,246000,246000,368000,301000,368000,201000,201000,201000,201000,246000,246000
china airlines,0.42,823000,-,165000,0.76,-,-,-,165000,165000,165000,201000,165000,201000,165000,165000,165000,165000,165000,165000
vacation rentals by owner,0.51,165000,-,135000,0.7,-,-,-,165000,135000,135000,165000,135000,165000,90500,74000,90500,90500,110000,135000
