Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
christopher and banks,0.24,90500,-,90500,0.17,-,-,-,74000,90500,90500,90500,74000,74000,110000,110000,74000,74000,60500,60500
maternity dresses,1,823000,-,450000,1.3,-,-,-,450000,450000,550000,673000,550000,550000,450000,450000,450000,450000,450000,368000
plus size swimwear,1,165000,-,110000,1.82,-,-,-,246000,201000,135000,165000,135000,110000,49500,40500,49500,60500,110000,165000
club dresses,0.89,246000,-,165000,0.78,-,-,-,165000,165000,201000,246000,201000,201000,135000,135000,165000,135000,135000,110000
dance costumes,0.84,450000,-,301000,0.58,-,-,-,201000,246000,246000,301000,301000,368000,246000,301000,450000,368000,246000,201000
cheap halloween costumes,0.81,90500,-,74000,0.53,-,-,-,5400,3600,2900,5400,6600,9900,8100,14800,673000,165000,27100,8100
cardigan,0.62,2240000,-,1000000,1.26,-,-,-,550000,673000,673000,823000,1000000,1220000,1500000,1220000,1220000,1000000,673000,550000
cherokee scrubs,0.98,60500,-,49500,2.45,-,-,-,49500,49500,49500,60500,60500,60500,40500,49500,49500,49500,49500,40500
homecoming dresses 2010,0.77,49500,-,49500,0.71,-,-,-,320,390,390,590,1900,6600,8100,12100,90500,301000,110000,33100
alternative apparel,0.36,60500,-,49500,0.26,-,-,-,49500,49500,49500,49500,40500,40500,40500,49500,49500,49500,49500,40500
bcbg dresses,0.88,135000,-,110000,0.8,-,-,-,90500,135000,165000,165000,135000,135000,90500,90500,74000,74000,74000,90500
ahh bra,0.84,110000,-,60500,0.6,-,-,-,-,90500,90500,90500,60500,74000,49500,49500,49500,40500,27100,22200
seven jeans,0.87,165000,-,110000,1.15,-,-,-,60500,74000,74000,110000,110000,135000,165000,165000,110000,110000,90500,90500
dresses for juniors,0.92,301000,-,246000,0.9,-,-,-,246000,301000,301000,301000,301000,301000,246000,246000,201000,201000,201000,201000
pajamas,0.64,2240000,-,1500000,0.91,-,-,-,823000,1000000,823000,1220000,1500000,1830000,3350000,2240000,1500000,1000000,823000,823000
great glam,0.38,90500,-,49500,0.2,-,-,-,49500,60500,60500,60500,60500,60500,49500,49500,49500,49500,49500,40500
dressbarn,0.27,301000,-,246000,0.22,-,-,-,301000,368000,368000,301000,201000,201000,246000,246000,246000,246000,201000,201000
2011 prom dresses,0.68,673000,-,450000,0.79,-,-,-,110000,368000,1000000,1500000,1220000,1220000,301000,246000,165000,110000,40500,18100
white dresses,0.89,823000,-,550000,0.96,-,-,-,550000,673000,673000,823000,673000,673000,368000,368000,450000,368000,450000,450000
short prom dresses,0.75,135000,-,110000,0.84,-,-,-,40500,110000,201000,246000,165000,165000,49500,49500,49500,49500,33100,33100
dereon,0.46,135000,-,90500,0.39,-,-,-,60500,74000,74000,90500,90500,90500,110000,90500,110000,90500,110000,74000
pageant dresses,0.82,165000,-,135000,0.52,-,-,-,135000,110000,110000,201000,246000,246000,90500,90500,110000,135000,110000,135000
adrianna papell,0.91,90500,-,74000,0.84,-,-,-,74000,110000,110000,110000,90500,74000,40500,49500,60500,60500,60500,60500
fredricks of hollywood,0.38,368000,-,368000,0.21,-,-,-,301000,301000,301000,301000,450000,550000,450000,450000,450000,368000,301000,301000
suits,0.7,4090000,-,2240000,1.21,-,-,-,-,-,2240000,2740000,2240000,2240000,1830000,1830000,1830000,1830000,1830000,1830000
cheap clothes,0.95,1000000,-,550000,1.03,-,-,-,450000,550000,550000,673000,673000,673000,550000,550000,550000,550000,550000,450000
silver jeans,0.8,90500,-,60500,0.84,-,-,-,40500,49500,60500,74000,74000,74000,74000,74000,60500,49500,40500,33100
vintage wedding dresses,0.51,135000,-,74000,0.66,-,-,-,74000,74000,74000,74000,74000,90500,60500,60500,74000,60500,60500,74000
apple bottom jeans,0.23,90500,-,60500,0.56,-,-,-,60500,49500,49500,60500,60500,74000,74000,74000,74000,60500,49500,49500
bridesmaids,0.3,3350000,-,1830000,1.07,-,-,-,3350000,3350000,1500000,1830000,1830000,2240000,1000000,1220000,1220000,1220000,1220000,1220000
lilly pulitzer,0.61,301000,-,301000,0.84,-,-,-,-,450000,450000,368000,301000,246000,201000,201000,165000,165000,246000,246000
snapback hats,0.6,301000,-,246000,0.43,-,-,-,301000,368000,368000,368000,301000,301000,301000,201000,165000,165000,135000,90500
flower girl dresses,1,368000,-,201000,1.16,-,-,-,201000,201000,246000,301000,301000,301000,135000,165000,165000,165000,201000,201000
plus size dresses,1,1220000,-,823000,1.33,-,-,-,823000,1000000,1000000,1220000,1000000,1000000,673000,673000,823000,823000,823000,823000
cosplay,0.15,3350000,-,823000,0.49,-,-,-,1000000,1000000,1000000,823000,823000,823000,673000,673000,1000000,1000000,823000,1000000
bridal gowns,0.56,5000000,-,2740000,0.88,-,-,-,-,-,2740000,3350000,2740000,4090000,2240000,2740000,2740000,2740000,2740000,2740000
