Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
no child left behind,0.04,246000,-,201000,0.99,-,-,-,135000,201000,246000,246000,201000,201000,165000,246000,246000,201000,110000,110000
government grants,0.83,368000,-,246000,2.54,-,-,-,201000,165000,165000,246000,246000,301000,201000,246000,246000,246000,301000,246000
summer jobs,0.61,1000000,-,550000,0.67,-,-,-,1000000,1220000,1000000,1000000,550000,450000,201000,165000,135000,110000,110000,301000
select staffing,0.28,74000,-,74000,0.26,-,-,-,110000,90500,74000,90500,74000,90500,60500,60500,74000,74000,60500,60500
internships,0.26,4090000,-,2740000,1.27,-,-,-,1830000,2240000,2740000,4090000,4090000,4090000,2240000,2240000,2240000,1830000,1500000,1500000
lesson plans,0.22,5000000,-,3350000,1.1,-,-,-,1830000,2740000,3350000,5000000,4090000,4090000,2240000,4090000,4090000,4090000,2240000,1830000
preschool,0.29,7480000,-,5000000,1.82,-,-,-,5000000,5000000,5000000,7480000,6120000,6120000,4090000,5000000,5000000,5000000,5000000,4090000
online colleges,0.95,450000,-,301000,33.32,-,-,-,301000,301000,301000,368000,368000,450000,301000,301000,301000,301000,368000,301000
barry university,0.13,74000,-,60500,1.03,-,-,-,74000,74000,74000,74000,74000,74000,60500,74000,60500,60500,60500,49500
ged online,0.92,165000,-,165000,3.14,-,-,-,165000,165000,165000,201000,165000,201000,135000,165000,165000,201000,165000,135000
mla format works cited,0.03,110000,-,110000,0.15,-,-,-,49500,135000,165000,135000,110000,74000,135000,165000,135000,90500,27100,27100
grants.gov,0.53,40500,-,40500,3.52,-,-,-,33100,33100,27100,33100,27100,40500,33100,49500,60500,49500,49500,49500
ged practice test,0.61,135000,-,110000,0.84,-,-,-,135000,135000,135000,165000,135000,165000,110000,110000,110000,110000,74000,74000
resume cover letter,0.17,1000000,-,550000,0.57,-,-,-,550000,550000,550000,673000,550000,673000,368000,450000,550000,550000,450000,450000
practice permit test,0.31,450000,-,368000,0.21,-,-,-,550000,368000,368000,450000,368000,368000,301000,301000,301000,301000,368000,368000
art institute,0.29,1830000,-,1000000,5,-,-,-,1000000,1000000,1000000,1220000,1220000,1220000,1000000,1220000,1220000,1000000,1000000,823000
paralegal,0.54,673000,-,550000,13.69,-,-,-,550000,450000,550000,673000,673000,673000,450000,450000,450000,450000,450000,450000
algebra solver,0.18,90500,-,74000,0.54,-,-,-,74000,90500,90500,90500,90500,90500,60500,90500,90500,90500,49500,40500
