Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
woodbury commons coupons,0.52,2900,-,2400,0.45,-,-,-,2400,2900,2400,1900,1600,1300,3600,4400,2900,2900,2900,1900
atlanta malls,0.13,60500,-,49500,1.3,-,-,-,49500,40500,40500,60500,49500,49500,60500,60500,49500,49500,49500,60500
orland mall,0.05,22200,-,22200,0.76,-,-,-,27100,18100,18100,18100,18100,22200,40500,27100,18100,18100,14800,14800
bj tires,0.7,14800,-,14800,2.51,-,-,-,14800,14800,14800,18100,14800,18100,18100,18100,14800,14800,14800,12100
sams club job application,0.6,3600,-,3600,0.39,-,-,-,5400,4400,2900,3600,3600,4400,2900,4400,4400,4400,3600,3600
park city outlets,0.13,8100,-,6600,0.67,-,-,-,5400,6600,5400,6600,5400,5400,8100,9900,6600,6600,9900,8100
family dollar online application,0.62,3600,-,3600,0.37,-,-,-,5400,5400,4400,3600,2400,3600,2900,2900,2400,2400,2400,2900
dollar general stock,0.31,2400,-,2400,2.53,-,-,-,1900,1600,2400,3600,2900,3600,2400,1900,1600,1600,1600,1300
ontario mall,0.08,90500,-,22200,0.62,-,-,-,22200,18100,18100,18100,18100,22200,27100,27100,18100,18100,22200,27100
stores that offer layaway,0.66,1900,-,1900,0.83,-,-,-,720,720,720,880,880,1900,2900,6600,4400,2400,1600,1300
coleman outlet store,0.58,1600,-,1600,0.17,-,-,-,2400,1600,1000,1300,880,1000,1300,1300,1300,1600,1900,2400
atlanta mall,0.12,74000,-,74000,1.44,-,-,-,60500,60500,60500,74000,74000,74000,74000,74000,74000,60500,74000,74000
waterbury mall,0.04,5400,-,5400,0.61,-,-,-,5400,5400,5400,5400,5400,5400,6600,5400,4400,4400,5400,5400
game warden salary,0.18,3600,-,3600,0.28,-,-,-,1900,3600,3600,4400,4400,5400,3600,3600,2900,2900,2400,1600
corningware outlet store locations,0.48,2900,-,2400,0.28,-,-,-,1000,1300,1300,1300,1900,3600,5400,4400,2400,2400,1600,2400
outlet malls in wisconsin,0.11,9900,-,9900,0.66,-,-,-,8100,8100,8100,12100,8100,8100,9900,14800,9900,9900,12100,12100
dickies outlet,0.73,12100,-,8100,0.89,-,-,-,6600,5400,5400,6600,8100,8100,9900,8100,9900,8100,12100,8100
alderwood mall stores,0.09,1900,-,1900,0.57,-,-,-,1600,1600,1600,1900,1600,1600,2400,1900,1600,1600,1900,1600
tanger outlet williamsburg,0.2,8100,-,8100,0.61,-,-,-,8100,8100,6600,8100,6600,5400,9900,14800,8100,8100,9900,8100
99 store,0.13,135000,-,110000,0.45,-,-,-,110000,110000,110000,110000,110000,110000,135000,110000,110000,110000,90500,90500
dollar general online application,0.43,3600,-,3600,0.36,-,-,-,5400,5400,3600,3600,1900,2400,1900,2900,2900,2900,2900,3600
carolina place mall directory,0.03,880,-,880,0.58,-,-,-,170,170,170,170,720,1300,2900,1600,1300,1000,1300,1000
family dollar application form,0.63,1300,-,1300,0.36,-,-,-,2400,2400,1900,1900,1000,1000,1000,1300,880,1000,1000,590
woodbury outlet mall,0.25,4400,-,2900,0.21,-,-,-,2900,2900,2400,2400,1900,2400,3600,3600,2900,2900,3600,3600
dollar general franchise,0.95,1300,-,1000,2.04,-,-,-,1600,1900,1600,1600,880,1300,880,880,880,880,720,720
gainesville mall,0.08,12100,-,9900,0.41,-,-,-,9900,8100,8100,9900,9900,12100,14800,12100,9900,12100,12100,12100
dillards stores,0.34,22200,-,22200,0.21,-,-,-,12100,14800,18100,22200,22200,27100,27100,18100,18100,22200,22200,18100
dollar general application online,0.43,3600,-,3600,0.35,-,-,-,5400,5400,3600,3600,1900,2400,1900,2900,2900,2900,2900,3600
tanger outlets howell,0.06,5400,-,5400,0.42,-,-,-,3600,5400,5400,4400,3600,3600,6600,8100,4400,4400,5400,5400
reading pa outlets,0.3,6600,-,6600,0.45,-,-,-,5400,5400,5400,5400,5400,5400,8100,9900,8100,6600,8100,6600
tanger outlet tuscola,0.06,1900,-,1900,0.58,-,-,-,1300,1600,1600,1900,1300,1000,1900,3600,1900,1600,1900,1600
bells outlet,0.34,3600,-,3600,0.22,-,-,-,3600,2900,2900,3600,2900,2400,4400,3600,2900,2400,3600,5400
san mateo event center,0.03,1900,-,1900,1.32,-,-,-,1600,4400,1900,3600,2400,2400,1000,1600,880,1600,880,1300
malls in michigan,0.11,90500,-,74000,0.52,-,-,-,60500,60500,60500,74000,60500,74000,90500,90500,74000,74000,74000,74000
12 oaks mall directory,0.08,1000,-,1000,0.23,-,-,-,390,480,480,320,720,1300,2400,1300,880,1300,1600,1300
dillards registry,0.57,8100,-,8100,1.41,-,-,-,8100,9900,8100,8100,5400,6600,4400,5400,8100,9900,9900,12100
pc outlet san antonio,0.26,1000,-,1000,0.36,-,-,-,880,880,880,720,880,1300,1600,1300,1300,1300,1000,1000
tulare outlet mall,0.11,1600,-,1600,0.62,-,-,-,1300,1300,1300,1000,1300,1000,1900,2900,1300,1300,2400,1600
marksandspencer,0.13,246000,-,4400,0.25,-,-,-,2900,2400,2400,2400,2400,6600,8100,8100,6600,5400,5400,5400
general dollar store,0.2,33100,-,33100,0.37,-,-,-,27100,33100,27100,27100,27100,40500,40500,40500,33100,27100,27100,27100
chandler mall stores,0.21,1600,-,1600,0.42,-,-,-,880,1000,1300,1600,1300,1900,2400,1900,1300,1300,1300,1900
family dollar employment,0.51,9900,-,9900,0.39,-,-,-,18100,14800,12100,12100,8100,8100,5400,5400,6600,5400,5400,4400
grove city outlet mall,0.25,12100,-,2400,0.82,-,-,-,1900,1900,1900,1900,1600,1600,1900,3600,2400,1900,3600,2900
rawlings outlet,0.36,1900,-,1900,0.2,-,-,-,-,2400,1900,2900,2400,1600,1600,1600,1600,1600,1900,1900
family dollar stock,0.24,1300,-,1300,2.44,-,-,-,1300,1000,1300,1600,2400,1000,1000,1000,1300,1600,880,880
marui,0.23,450000,-,74000,0.37,-,-,-,60500,60500,60500,74000,74000,74000,74000,60500,60500,60500,60500,60500
tanger outlets coupons,0.41,9900,-,9900,0.44,-,-,-,8100,9900,9900,8100,5400,4400,12100,18100,8100,8100,12100,8100
