Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
vegetarian diet,0.31,301000,-,165000,0.99,-,-,-,165000,165000,201000,246000,246000,201000,135000,165000,165000,165000,165000,135000
things to do in new york,0.53,301000,-,246000,1.43,-,-,-,368000,246000,246000,301000,246000,246000,246000,246000,246000,246000,301000,301000
il fornaio,0.06,90500,-,60500,0.52,-,-,-,60500,60500,60500,60500,60500,60500,60500,60500,49500,49500,49500,49500
raw food,0.29,550000,-,301000,1.1,-,-,-,301000,301000,301000,368000,301000,368000,246000,246000,301000,246000,301000,301000
boston market menu,0.3,14800,-,14800,0.2,-,-,-,12100,14800,18100,18100,12100,12100,14800,33100,14800,12100,9900,9900
chocolate fountain,0.69,165000,-,74000,0.77,-,-,-,74000,90500,74000,74000,90500,90500,90500,74000,74000,60500,60500,60500
restaurant reviews,0.2,673000,-,368000,0.92,-,-,-,301000,301000,301000,450000,450000,450000,368000,301000,301000,301000,368000,368000
round table pizza menu,0.25,18100,-,18100,0.15,-,-,-,18100,14800,14800,18100,18100,22200,18100,18100,14800,12100,12100,12100
things to do in new york city,0.65,165000,-,165000,1.54,-,-,-,201000,135000,135000,165000,135000,165000,165000,165000,135000,135000,135000,165000
medical city dallas,0.09,18100,-,18100,1.44,-,-,-,22200,18100,22200,22200,18100,22200,18100,18100,18100,18100,18100,14800
anthony s pizza,0.07,60500,-,60500,0.64,-,-,-,60500,60500,60500,74000,60500,74000,60500,60500,60500,60500,49500,49500
olivegarden,0.32,1500000,-,1500000,0.5,-,-,-,1500000,1500000,1500000,1500000,1830000,1830000,1500000,1220000,1500000,1220000,1220000,1220000
bartending,0.37,823000,-,450000,1.83,-,-,-,450000,450000,450000,550000,550000,550000,450000,450000,450000,450000,450000,450000
long john silvers locations,0.18,12100,-,12100,0.27,-,-,-,12100,9900,12100,8100,8100,18100,12100,12100,14800,12100,9900,12100
almond butter,0.25,90500,-,60500,0.73,-,-,-,60500,60500,60500,90500,74000,74000,60500,49500,60500,60500,49500,49500
roy s restaurant,0.09,22200,-,18100,0.69,-,-,-,12100,12100,12100,12100,22200,27100,27100,22200,22200,22200,22200,18100
carabbas,0.13,74000,-,60500,0.63,-,-,-,49500,60500,60500,74000,74000,74000,74000,49500,49500,40500,49500,60500
morningstar farms,0.35,27100,-,27100,0.36,-,-,-,33100,33100,27100,27100,27100,33100,18100,18100,22200,22200,22200,22200
boston restaurant week,0.34,40500,-,40500,0.22,-,-,-,14800,14800,14800,165000,49500,12100,6600,12100,12100,9900,135000,27100
chop house,0.08,550000,-,368000,1.18,-,-,-,301000,301000,301000,368000,450000,450000,368000,301000,301000,301000,301000,246000
things to do in indianapolis,0.41,22200,-,22200,0.91,-,-,-,27100,22200,22200,27100,22200,22200,14800,18100,18100,18100,22200,27100
mcdonalds job application,0.52,33100,-,22200,0.43,-,-,-,22200,22200,40500,22200,18100,22200,14800,18100,18100,18100,18100,18100
corner bakery menu,0.16,9900,-,9900,0.16,-,-,-,18100,18100,18100,18100,9900,6600,5400,5400,4400,4400,4400,4400
delivery food,0.5,1500000,-,1000000,2.21,-,-,-,823000,823000,823000,1220000,1220000,1220000,1000000,823000,823000,823000,673000,673000
gotham comedy club,0.17,9900,-,9900,0.38,-,-,-,9900,9900,9900,12100,9900,9900,8100,8100,8100,6600,8100,8100
restaurant menus,0.29,246000,-,110000,1.3,-,-,-,90500,110000,110000,165000,165000,165000,90500,110000,90500,90500,90500,74000
mediterranean diet recipes,0.21,12100,-,9900,0.71,-,-,-,9900,9900,12100,14800,9900,14800,6600,8100,9900,8100,9900,9900
huhot,0.09,33100,-,27100,0.42,-,-,-,27100,27100,27100,33100,33100,40500,27100,22200,27100,22200,22200,22200
country buffet,0.21,135000,-,110000,0.28,-,-,-,110000,110000,135000,135000,110000,110000,110000,135000,110000,90500,110000,110000
rudy s bbq,0.02,22200,-,22200,1.45,-,-,-,27100,22200,22200,22200,18100,22200,27100,27100,22200,22200,18100,22200
bonefish grill locations,0.11,12100,-,12100,0.19,-,-,-,8100,8100,5400,3600,14800,22200,22200,14800,14800,12100,9900,12100
bone fish grill,0.21,246000,-,246000,0.27,-,-,-,246000,246000,201000,246000,301000,301000,301000,201000,201000,165000,201000,201000
ann arbor restaurants,0.12,49500,-,40500,1.42,-,-,-,49500,40500,49500,49500,49500,74000,49500,49500,40500,33100,27100,27100
mcdonalds online application,0.51,49500,-,40500,0.42,-,-,-,33100,33100,60500,33100,33100,49500,33100,40500,33100,33100,33100,33100
vocelli,0.07,49500,-,40500,0.45,-,-,-,49500,49500,49500,49500,49500,49500,49500,40500,40500,40500,33100,33100
nandos,0.02,1000000,-,40500,0.71,-,-,-,-,40500,40500,40500,40500,40500,33100,33100,40500,33100,33100,33100
eugene airport,0.39,14800,-,14800,0.83,-,-,-,14800,14800,12100,14800,14800,14800,14800,14800,14800,14800,14800,12100
subway job application,0.37,14800,-,12100,0.33,-,-,-,18100,18100,14800,18100,12100,14800,9900,12100,12100,9900,9900,9900
caterers,0.48,1500000,-,673000,2.69,-,-,-,673000,673000,673000,1000000,823000,1000000,673000,673000,673000,673000,673000,550000
fun things to do in nyc,0.52,18100,-,14800,1.42,-,-,-,22200,14800,18100,18100,18100,18100,14800,14800,12100,12100,14800,18100
dickey s bbq,0.05,18100,-,18100,0.99,-,-,-,22200,22200,18100,18100,14800,22200,18100,18100,22200,14800,12100,14800
asia de cuba,0.07,60500,-,22200,0.31,-,-,-,18100,18100,18100,22200,27100,27100,22200,22200,22200,22200,22200,22200
mcdonalds calories,0.03,246000,-,201000,0.24,-,-,-,201000,201000,165000,246000,165000,246000,110000,135000,165000,165000,201000,246000
nyc restaurants,0.16,673000,-,673000,1.46,-,-,-,673000,550000,673000,823000,823000,823000,673000,673000,550000,550000,550000,550000
chinese delivery,0.25,368000,-,246000,1.15,-,-,-,246000,246000,246000,301000,301000,368000,301000,246000,246000,201000,201000,165000
chinese food delivery,0.28,135000,-,110000,1.04,-,-,-,90500,90500,90500,135000,135000,135000,110000,90500,90500,74000,74000,74000
pizza my heart,0.17,18100,-,18100,0.22,-,-,-,18100,18100,22200,22200,18100,14800,14800,14800,18100,14800,14800,14800
david wolfe,0.23,60500,-,33100,1.71,-,-,-,33100,40500,33100,40500,33100,40500,33100,33100,33100,27100,27100,27100
san diego restaurants,0.24,201000,-,165000,1.31,-,-,-,165000,165000,165000,201000,201000,246000,165000,165000,135000,165000,165000,165000
restaurants in atlanta,0.19,246000,-,246000,1.55,-,-,-,201000,201000,201000,246000,301000,301000,246000,246000,201000,201000,201000,201000
qdoba locations,0.12,9900,-,9900,0.4,-,-,-,8100,8100,9900,9900,9900,9900,9900,9900,9900,9900,12100,12100
pen fifteen,0.05,22200,-,12100,1.82,-,-,-,2900,4400,4400,6600,9900,110000,1000,1300,1000,1000,1300,1000
rosatis,0.05,90500,-,90500,0.25,-,-,-,74000,74000,74000,90500,90500,90500,90500,74000,90500,110000,90500,74000
chinese menu,0.12,301000,-,165000,0.71,-,-,-,165000,165000,165000,201000,201000,201000,165000,135000,135000,135000,110000,110000
smart & final,0.07,135000,-,135000,0.2,-,-,-,165000,165000,135000,135000,110000,135000,135000,135000,135000,135000,110000,110000
bento boxes,0.61,110000,-,74000,0.52,-,-,-,60500,60500,60500,74000,60500,74000,60500,60500,74000,74000,110000,60500
paleo diet recipes,0.27,14800,-,9900,0.22,-,-,-,12100,12100,12100,14800,12100,14800,6600,8100,8100,8100,6600,6600
denver restaurants,0.21,165000,-,165000,1.44,-,-,-,135000,165000,165000,165000,201000,201000,201000,165000,165000,135000,135000,135000
restaurants in dc,0.14,246000,-,246000,1.4,-,-,-,246000,246000,246000,301000,246000,301000,246000,201000,246000,201000,201000,201000
new york restaurants,0.15,1220000,-,1220000,1.35,-,-,-,1000000,1000000,1000000,1220000,1500000,1500000,1220000,1220000,1000000,1000000,1000000,1000000
benihana menu,0.18,12100,-,9900,0.3,-,-,-,9900,12100,12100,12100,12100,12100,12100,9900,9900,8100,9900,9900
howl at the moon boston,0.03,8100,-,8100,0.1,-,-,-,6600,5400,6600,8100,9900,9900,8100,12100,12100,14800,9900,1300
chicago restaurant week,0.53,22200,-,22200,2.34,-,-,-,2900,14800,18100,18100,135000,40500,2400,1600,1300,1300,1000,1000
hamburger mary s,0.01,18100,-,18100,0.87,-,-,-,18100,18100,18100,22200,22200,22200,18100,18100,22200,18100,14800,18100
baltimore restaurant week,0.18,14800,-,14800,0.18,-,-,-,2900,1600,1900,2400,8100,90500,3600,2400,1900,1900,60500,12100
applebees careers,0.31,12100,-,12100,0.32,-,-,-,14800,14800,12100,14800,9900,14800,12100,14800,12100,9900,12100,9900
snappy tomato pizza,0.26,14800,-,12100,0.32,-,-,-,9900,9900,9900,12100,12100,12100,14800,12100,12100,9900,9900,12100
restaurants in san francisco,0.21,246000,-,246000,1.68,-,-,-,246000,201000,201000,246000,246000,301000,246000,246000,201000,201000,246000,201000
restaurants in las vegas,0.28,246000,-,246000,1.42,-,-,-,246000,246000,246000,301000,246000,301000,201000,201000,201000,201000,201000,201000
brazilian steakhouse,0.11,135000,-,110000,1.18,-,-,-,110000,110000,90500,110000,135000,135000,110000,90500,90500,90500,90500,90500
san diego sports arena,0.37,18100,-,18100,0.57,-,-,-,9900,9900,12100,18100,14800,14800,12100,22200,27100,18100,18100,18100
hungry howies menu,0.42,8100,-,8100,0.1,-,-,-,14800,14800,14800,12100,8100,5400,5400,5400,5400,4400,4400,4400
medical center of plano,0.08,14800,-,14800,1.03,-,-,-,18100,18100,14800,18100,14800,18100,14800,14800,14800,14800,14800,12100
ryan s steakhouse,0.23,22200,-,18100,0.31,-,-,-,12100,14800,18100,22200,18100,22200,18100,27100,22200,22200,18100,18100
benihana locations,0.09,8100,-,6600,0.46,-,-,-,5400,5400,4400,4400,9900,9900,9900,6600,6600,6600,6600,12100
comedy clubs nyc,0.6,22200,-,22200,1.06,-,-,-,18100,18100,18100,27100,27100,27100,22200,22200,22200,18100,18100,22200
restaurants in san diego,0.24,201000,-,165000,1.33,-,-,-,165000,165000,165000,201000,201000,246000,165000,165000,135000,165000,165000,165000
applebees application,0.35,14800,-,12100,0.24,-,-,-,18100,18100,14800,18100,12100,18100,9900,12100,9900,9900,9900,9900
las vegas clubs,0.36,201000,-,165000,1.73,-,-,-,165000,165000,165000,201000,201000,201000,135000,135000,165000,165000,165000,165000
restaurant furniture,0.99,90500,-,49500,3.96,-,-,-,49500,49500,49500,74000,60500,60500,49500,49500,49500,49500,49500,49500
subway breakfast,0.12,27100,-,18100,0.29,-,-,-,14800,22200,22200,18100,14800,18100,12100,18100,22200,14800,18100,22200
milwaukee restaurants,0.13,74000,-,74000,1.63,-,-,-,90500,74000,74000,90500,90500,90500,90500,74000,74000,74000,60500,74000
ruby s diner,0.04,14800,-,14800,0.46,-,-,-,14800,12100,12100,14800,14800,14800,14800,12100,12100,12100,12100,18100
whataburger locations,0.02,6600,-,6600,0.29,-,-,-,6600,5400,5400,6600,6600,6600,8100,8100,5400,5400,8100,6600
myrtle beach restaurants,0.2,40500,-,33100,0.63,-,-,-,60500,49500,40500,40500,27100,27100,18100,22200,22200,33100,49500,60500
dc restaurants,0.14,246000,-,246000,1.45,-,-,-,246000,246000,246000,301000,246000,301000,246000,201000,246000,201000,201000,201000
babycakes cupcake maker,0.29,8100,-,8100,0.75,-,-,-,3600,4400,5400,5400,5400,9900,33100,12100,5400,2900,1000,880
lounges in nyc,0.41,40500,-,40500,0.86,-,-,-,33100,33100,33100,49500,40500,49500,40500,49500,40500,33100,33100,33100
bar b que,0.1,301000,-,246000,0.86,-,-,-,246000,301000,246000,301000,301000,301000,246000,246000,246000,246000,246000,246000
restaurants on the run,0.24,18100,-,12100,0.24,-,-,-,9900,12100,12100,14800,14800,14800,12100,12100,12100,9900,8100,8100
anthony s restaurant,0.04,22200,-,18100,1.18,-,-,-,14800,14800,14800,18100,22200,22200,22200,18100,18100,18100,18100,18100
order food online,0.76,60500,-,27100,2.31,-,-,-,27100,27100,27100,33100,33100,33100,33100,27100,27100,22200,22200,22200
restaurant finder,0.4,74000,-,22200,0.45,-,-,-,22200,18100,22200,22200,22200,27100,27100,22200,22200,22200,22200,33100
cracker barrel store,0.28,14800,-,12100,0.43,-,-,-,12100,12100,12100,14800,12100,12100,22200,18100,12100,9900,8100,9900
baltimore restaurants,0.12,110000,-,110000,1.26,-,-,-,90500,110000,110000,110000,135000,110000,110000,90500,90500,90500,90500,90500
things to do in memphis,0.58,18100,-,18100,0.82,-,-,-,22200,18100,14800,22200,14800,14800,12100,12100,12100,12100,14800,22200
fondue pot,0.53,74000,-,40500,0.69,-,-,-,22200,27100,27100,33100,74000,60500,110000,49500,33100,27100,27100,27100
antonio s pizza,0.06,33100,-,27100,1.05,-,-,-,27100,27100,27100,33100,33100,33100,33100,27100,27100,27100,22200,27100
st louis restaurants,0.14,110000,-,110000,1.26,-,-,-,110000,110000,110000,135000,135000,135000,110000,110000,90500,90500,90500,110000
burger island,0.19,60500,-,27100,0.49,-,-,-,-,33100,33100,33100,33100,33100,27100,27100,27100,27100,27100,27100
lima dc,0.1,12100,-,8100,0.18,-,-,-,9900,8100,8100,8100,8100,12100,9900,8100,9900,8100,8100,8100
mcdonalds prices,0.17,90500,-,40500,0.21,-,-,-,40500,40500,40500,49500,40500,40500,33100,40500,40500,33100,27100,27100
new york restaurant week,0.21,90500,-,90500,0.3,-,-,-,49500,14800,22200,49500,135000,301000,18100,27100,49500,40500,74000,246000
restaurants in salt lake city,0.21,40500,-,33100,1.83,-,-,-,33100,33100,33100,40500,49500,49500,40500,40500,33100,27100,27100,27100
