Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
mbusa,0.25,74000,-,60500,0.66,-,-,-,60500,60500,49500,60500,60500,60500,60500,49500,49500,60500,60500,49500
windshield replacement,0.86,450000,-,368000,4.34,-,-,-,368000,368000,368000,450000,450000,450000,368000,301000,301000,301000,301000,301000
car finder,0.66,301000,-,165000,1.31,-,-,-,165000,165000,165000,165000,201000,201000,165000,165000,165000,165000,165000,165000
nada bluebook,0.25,90500,-,90500,0.19,-,-,-,90500,74000,74000,90500,90500,135000,90500,74000,74000,90500,90500,135000
used boats,0.52,450000,-,368000,0.33,-,-,-,450000,368000,368000,450000,368000,301000,201000,201000,246000,301000,368000,450000
hankook tires,0.98,110000,-,60500,2.06,-,-,-,60500,49500,49500,60500,60500,60500,74000,90500,90500,60500,60500,49500
motorcycle tires,0.86,301000,-,165000,1.35,-,-,-,201000,201000,201000,201000,165000,135000,90500,110000,135000,165000,165000,165000
car stereo,0.44,1830000,-,1000000,1.08,-,-,-,823000,823000,823000,1000000,1220000,1000000,1000000,1000000,823000,823000,823000,823000
department of motor vehicles,0.06,1000000,-,823000,0.18,-,-,-,1000000,823000,823000,1000000,823000,1000000,823000,823000,823000,823000,1000000,1000000
yakima,0.24,1000000,-,1000000,1.27,-,-,-,1000000,1000000,1000000,1000000,823000,1000000,823000,823000,823000,823000,823000,1000000
cheap tires,1,368000,-,201000,2.39,-,-,-,201000,201000,201000,246000,246000,246000,201000,201000,201000,201000,201000,201000
motorcycles,0.42,4090000,-,2240000,0.58,-,-,-,-,-,2740000,2740000,2240000,1830000,1830000,1830000,2240000,2240000,2240000,2240000
hybrid cars,0.69,368000,-,201000,4.96,-,-,-,201000,246000,301000,301000,246000,246000,165000,201000,165000,165000,110000,135000
motorcycles for sale,0.67,1000000,-,450000,0.56,-,-,-,550000,550000,550000,673000,450000,450000,301000,301000,368000,368000,450000,450000
airstream,0.34,450000,-,301000,0.77,-,-,-,368000,301000,246000,301000,246000,246000,201000,246000,246000,301000,368000,368000
nitto tires,0.77,74000,-,60500,1.46,-,-,-,60500,60500,49500,74000,74000,74000,74000,74000,74000,60500,60500,60500
acura tl,0.47,550000,-,450000,1.95,-,-,-,450000,450000,450000,550000,450000,450000,368000,368000,450000,368000,368000,368000
moped,0.57,2740000,-,673000,0.88,-,-,-,1000000,1000000,1000000,823000,673000,550000,550000,550000,550000,673000,823000,823000
used motorcycles,0.73,450000,-,246000,0.63,-,-,-,246000,301000,301000,301000,246000,201000,135000,135000,165000,201000,201000,246000
