Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
perfume,0.61,7480000,-,1830000,1.09,-,-,-,-,-,1500000,1830000,2240000,1830000,3350000,2240000,1500000,1500000,1500000,1500000
army wives,0.11,550000,-,368000,1.29,-,-,-,550000,550000,550000,1220000,246000,246000,135000,135000,165000,201000,450000,368000
las vegas shows,0.74,550000,-,368000,1.58,-,-,-,368000,368000,368000,450000,450000,550000,368000,368000,368000,368000,368000,368000
yo mama jokes,0.04,450000,-,301000,0.18,-,-,-,301000,368000,368000,368000,301000,368000,368000,368000,301000,201000,165000,165000
movies in theaters,0.08,2240000,-,1000000,0.53,-,-,-,1220000,1000000,1000000,1000000,1220000,1220000,1000000,1000000,823000,823000,823000,1220000
megamind,0.04,1220000,-,368000,0.66,-,-,-,135000,165000,246000,550000,450000,368000,368000,1500000,301000,74000,33100,60500
basketball wives,0.05,368000,-,301000,0.21,-,-,-,673000,301000,165000,1000000,450000,673000,301000,74000,40500,60500,40500,60500
mp3 rocket,0.2,450000,-,201000,0.24,-,-,-,246000,246000,246000,301000,246000,246000,246000,246000,110000,90500,90500,90500
book stores,0.2,2240000,-,1220000,0.79,-,-,-,1220000,1220000,1000000,1220000,1220000,1830000,1500000,1220000,1220000,1220000,1500000,1220000
dead space 2,0.01,2240000,-,450000,1.18,-,-,-,246000,301000,368000,673000,1500000,1500000,201000,90500,110000,90500,60500,60500
les miserables,0.26,1000000,-,368000,0.66,-,-,-,450000,368000,368000,1220000,368000,368000,301000,368000,246000,201000,165000,201000
quizzes,0.09,9140000,-,4090000,0.65,-,-,-,3350000,4090000,4090000,5000000,5000000,5000000,4090000,5000000,5000000,4090000,3350000,3350000
word search,0.19,2240000,-,1220000,0.35,-,-,-,1220000,1830000,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1220000,823000,673000
sheet music,0.19,9140000,-,5000000,0.4,-,-,-,5000000,5000000,5000000,6120000,5000000,5000000,6120000,6120000,5000000,5000000,4090000,4090000
frogger,0.2,368000,-,201000,0.24,-,-,-,135000,165000,165000,201000,201000,246000,246000,246000,201000,201000,201000,201000
hunting games,0.28,673000,-,368000,0.4,-,-,-,246000,301000,301000,368000,368000,450000,673000,550000,450000,301000,246000,246000
zuma,0.26,6120000,-,450000,0.5,-,-,-,-,550000,550000,550000,450000,550000,550000,368000,368000,450000,450000,450000
dolce and gabbana,0.68,2740000,-,450000,1.09,-,-,-,450000,450000,450000,550000,550000,550000,673000,550000,450000,450000,450000,450000
dinner for schmucks,0.01,550000,-,246000,0.71,-,-,-,49500,60500,74000,110000,165000,550000,201000,165000,165000,201000,1000000,673000
hidden object games,0.76,1000000,-,368000,0.62,-,-,-,368000,450000,368000,368000,368000,450000,368000,368000,368000,368000,301000,368000
madden 11,0.06,823000,-,673000,1.32,-,-,-,165000,165000,201000,246000,450000,823000,823000,673000,823000,1000000,1830000,823000
movie theaters,0.07,1500000,-,1500000,0.56,-,-,-,-,-,1220000,1220000,1220000,1500000,1500000,1500000,1500000,1220000,1500000,1830000
trans siberian orchestra,0.04,450000,-,246000,0.73,-,-,-,60500,90500,110000,135000,135000,135000,1000000,823000,301000,246000,110000,74000
monopoly,0.19,4090000,-,1000000,0.45,-,-,-,823000,823000,823000,1000000,823000,1000000,1220000,1220000,2240000,823000,823000,673000
deadliest warrior,0.01,368000,-,201000,0.24,-,-,-,246000,165000,165000,165000,110000,135000,135000,110000,165000,165000,301000,823000
brain teasers,0.12,450000,-,246000,0.6,-,-,-,201000,246000,246000,301000,246000,301000,301000,301000,301000,246000,201000,165000
snapback hats,0.6,301000,-,246000,0.43,-,-,-,301000,368000,368000,368000,301000,301000,301000,201000,165000,165000,135000,90500
skateboarding games,0.27,550000,-,201000,0.25,-,-,-,165000,201000,201000,201000,201000,201000,246000,246000,246000,201000,201000,201000
broadway shows,0.68,450000,-,368000,1.22,-,-,-,368000,368000,368000,450000,368000,450000,450000,450000,368000,368000,368000,368000
baseball games,0.32,450000,-,368000,0.51,-,-,-,450000,550000,450000,368000,246000,201000,201000,246000,368000,301000,368000,450000
brain games,0.3,823000,-,368000,0.52,-,-,-,368000,450000,450000,550000,450000,450000,450000,450000,368000,301000,246000,301000
family guy full episodes,0.12,201000,-,165000,0.21,-,-,-,135000,110000,110000,110000,135000,201000,201000,165000,165000,135000,165000,201000
textbooks,0.58,5000000,-,3350000,2.15,-,-,-,2240000,2740000,1830000,2740000,2740000,5000000,3350000,2240000,2240000,3350000,5000000,2240000
audio books,0.48,1830000,-,823000,1.46,-,-,-,823000,823000,823000,1000000,1000000,1220000,1000000,823000,823000,823000,823000,823000
star wars games,0.25,1000000,-,368000,0.27,-,-,-,368000,301000,368000,450000,301000,368000,368000,368000,368000,368000,301000,301000
movie showtimes,0.03,2740000,-,2240000,0.69,-,-,-,2740000,2240000,2240000,2240000,2240000,2740000,2740000,2740000,2240000,1830000,2240000,3350000
nhl standings,0.04,246000,-,90500,0.34,-,-,-,33100,74000,301000,246000,135000,110000,90500,74000,40500,8100,3600,4400
kidz bop,0.25,301000,-,246000,0.26,-,-,-,246000,165000,135000,201000,246000,450000,368000,135000,165000,201000,301000,450000
windows media player 11,0.25,1500000,-,201000,0.28,-,-,-,165000,165000,165000,201000,201000,246000,246000,246000,246000,246000,201000,201000
blue man group,0.44,368000,-,246000,0.83,-,-,-,201000,201000,201000,301000,246000,246000,301000,246000,246000,201000,165000,165000
poppit,0.22,201000,-,135000,0.11,-,-,-,135000,135000,135000,135000,165000,135000,135000,135000,110000,110000,90500,110000
alamo drafthouse,0.01,165000,-,165000,0.37,-,-,-,301000,165000,135000,135000,135000,165000,165000,165000,135000,110000,110000,165000
xbox 360 slim,0.29,1220000,-,246000,0.84,-,-,-,165000,165000,135000,165000,165000,246000,368000,368000,246000,301000,301000,301000
photo editing,0.38,3350000,-,1000000,0.97,-,-,-,1220000,1220000,1000000,1220000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,1000000
donkey kong,0.13,2240000,-,550000,0.58,-,-,-,450000,450000,450000,550000,550000,823000,1000000,1000000,450000,368000,368000,368000
kinect games,0.25,450000,-,246000,1.2,-,-,-,165000,165000,201000,246000,246000,450000,823000,550000,60500,27100,18100,22200
pacman 30th anniversary,0.02,301000,-,110000,0.37,-,-,-,301000,368000,301000,110000,3600,5400,6600,8100,49500,74000,60500,33100
scrabble online,0.37,550000,-,301000,0.6,-,-,-,246000,301000,301000,368000,301000,368000,301000,301000,246000,246000,301000,301000
lion king,0.28,2240000,-,823000,1.16,-,-,-,823000,1000000,823000,1000000,823000,1000000,1000000,1000000,823000,823000,673000,673000
phantom of the opera,0.2,1000000,-,368000,1.03,-,-,-,368000,368000,368000,450000,368000,450000,368000,450000,550000,450000,368000,368000
battlefield bad company 2,0.03,2240000,-,368000,1.09,-,-,-,246000,246000,246000,301000,301000,450000,550000,301000,301000,301000,368000,450000
celebrity rehab,0.01,246000,-,201000,0.24,-,-,-,201000,74000,74000,368000,201000,550000,550000,90500,74000,60500,60500,90500
rock band 3,0.17,673000,-,368000,0.78,-,-,-,135000,135000,165000,201000,201000,368000,673000,823000,1000000,301000,301000,201000
deal or no deal,0.17,1000000,-,450000,0.4,-,-,-,246000,246000,246000,368000,450000,673000,450000,450000,450000,550000,550000,450000
word games,0.32,1000000,-,450000,0.39,-,-,-,368000,450000,450000,550000,550000,550000,550000,450000,450000,450000,368000,368000
new movie releases,0.13,673000,-,301000,0.61,-,-,-,246000,246000,246000,301000,301000,301000,301000,301000,301000,246000,246000,301000
dvdfab,0.14,1220000,-,246000,0.25,-,-,-,246000,201000,201000,246000,246000,301000,301000,301000,301000,301000,201000,201000
coloring pages for kids,0.09,550000,-,368000,0.69,-,-,-,368000,368000,450000,450000,368000,368000,450000,450000,368000,301000,246000,246000
cheap textbooks,0.97,368000,-,301000,2.06,-,-,-,165000,165000,110000,165000,201000,673000,246000,135000,135000,368000,823000,246000
ukulele,0.11,2740000,-,1220000,0.86,-,-,-,-,1220000,1220000,1220000,1220000,1220000,1500000,1000000,1000000,1000000,1000000,1000000
funbrain arcade,0.13,135000,-,110000,0.11,-,-,-,90500,165000,110000,110000,110000,110000,135000,135000,135000,90500,40500,33100
