Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
droid incredible,0.31,823000,-,823000,1.05,-,-,-,550000,550000,450000,673000,550000,823000,823000,823000,823000,823000,1000000,1220000
googledocs,0.1,301000,-,135000,0.12,-,-,-,110000,165000,165000,165000,165000,135000,110000,135000,135000,110000,60500,49500
telephone directory,0.56,4090000,-,1830000,0.54,-,-,-,1830000,1830000,1830000,2240000,1830000,2240000,1830000,1830000,1830000,1830000,1830000,1830000
myverizon,0.18,246000,-,246000,0.45,-,-,-,301000,301000,246000,246000,301000,301000,246000,246000,246000,201000,201000,201000
lord of the rings online,0.05,2240000,-,823000,0.19,-,-,-,673000,673000,673000,673000,673000,1000000,1000000,823000,1000000,1220000,368000,450000
battlefield bad company 2,0.03,2240000,-,368000,1.09,-,-,-,246000,246000,246000,301000,301000,450000,550000,301000,301000,301000,368000,450000
google doc,0.1,823000,-,301000,0.15,-,-,-,301000,368000,368000,450000,368000,301000,246000,301000,301000,246000,165000,135000
cellular south,0.24,165000,-,135000,0.68,-,-,-,135000,135000,110000,135000,135000,135000,165000,165000,135000,135000,135000,135000
powerpoint templates,0.36,1500000,-,450000,1.14,-,-,-,368000,550000,673000,673000,550000,450000,450000,550000,550000,450000,301000,301000
driving directions google,0.15,246000,-,201000,0.11,-,-,-,246000,246000,165000,165000,165000,201000,165000,165000,165000,165000,201000,201000
bloons tower defense 5,0.12,246000,-,110000,0.1,-,-,-,110000,165000,110000,135000,110000,110000,135000,110000,110000,90500,60500,74000
jdownloader,0.02,4090000,-,135000,0.31,-,-,-,110000,135000,135000,135000,135000,165000,135000,135000,135000,135000,135000,110000
chrome themes,0.1,1500000,-,368000,0.15,-,-,-,368000,450000,368000,450000,368000,368000,368000,368000,368000,368000,246000,246000
bejeweled blitz,0.26,450000,-,165000,0.43,-,-,-,90500,90500,90500,110000,110000,165000,165000,201000,201000,246000,246000,201000
phone numbers,0.29,13600000,-,7480000,0.9,-,-,-,-,7480000,7480000,9140000,9140000,9140000,7480000,6120000,6120000,6120000,7480000,7480000
fushigi ball,0.33,110000,-,110000,0.33,-,-,-,5400,6600,8100,14800,18100,49500,246000,165000,110000,135000,201000,368000
gtalk,0.07,1220000,-,135000,0.11,-,-,-,-,-,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
rpg games,0.35,1220000,-,450000,1.16,-,-,-,550000,450000,450000,550000,450000,550000,550000,550000,450000,450000,450000,550000
htc hd2,0.21,2740000,-,368000,1,-,-,-,201000,246000,246000,301000,301000,368000,368000,450000,550000,550000,550000,673000
prepaid cell phones,0.99,201000,-,165000,3.98,-,-,-,165000,135000,135000,165000,165000,201000,201000,165000,165000,165000,165000,165000
email search,0.49,550000,-,301000,0.63,-,-,-,301000,301000,246000,368000,301000,368000,301000,301000,301000,301000,301000,301000
htc desire,0.25,7480000,-,246000,1.02,-,-,-,-,201000,201000,246000,246000,246000,301000,301000,301000,301000,246000,165000
dsl,0.36,7480000,-,1500000,3.34,-,-,-,1220000,1220000,1220000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000
reverse look up,0.49,1220000,-,1000000,0.42,-,-,-,823000,823000,823000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1220000
dog games,0.42,823000,-,301000,0.37,-,-,-,301000,301000,301000,301000,301000,301000,301000,301000,246000,201000,246000,301000
