Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
cellular south,0.24,165000,-,135000,0.68,-,-,-,135000,135000,110000,135000,135000,135000,165000,165000,135000,135000,135000,135000
vnc,0.07,3350000,-,673000,2.28,-,-,-,673000,673000,673000,823000,673000,823000,673000,673000,673000,673000,673000,550000
garageband,0.09,1220000,-,550000,0.23,-,-,-,550000,550000,550000,673000,550000,550000,550000,550000,450000,450000,450000,368000
bejeweled blitz,0.26,450000,-,165000,0.43,-,-,-,90500,90500,90500,110000,110000,165000,165000,201000,201000,246000,246000,201000
phone numbers,0.29,13600000,-,7480000,0.9,-,-,-,-,7480000,7480000,9140000,9140000,9140000,7480000,6120000,6120000,6120000,7480000,7480000
laptop reviews,0.67,550000,-,246000,1.43,-,-,-,246000,246000,201000,301000,246000,301000,368000,368000,246000,246000,301000,246000
brother printers,0.59,301000,-,165000,1.56,-,-,-,-,135000,135000,201000,165000,201000,165000,165000,165000,165000,135000,135000
gtalk,0.07,1220000,-,135000,0.11,-,-,-,-,-,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
magellan,0.33,1500000,-,673000,0.58,-,-,-,673000,673000,550000,673000,550000,673000,823000,823000,673000,673000,673000,550000
verison,0.32,246000,-,201000,0.98,-,-,-,165000,165000,165000,201000,201000,246000,201000,201000,201000,201000,201000,201000
hdmi cable,0.69,1220000,-,550000,1.39,-,-,-,450000,450000,368000,450000,550000,673000,823000,673000,450000,450000,450000,368000
boostmobile,0.2,1500000,-,1500000,0.71,-,-,-,1830000,1830000,1500000,1500000,1500000,1500000,1500000,1500000,1220000,1220000,1220000,1220000
htc inspire,0.38,368000,-,301000,1.23,-,-,-,823000,823000,823000,1000000,673000,74000,210,58,46,46,36,58
reverse address lookup,0.38,165000,-,135000,0.18,-,-,-,110000,90500,90500,110000,90500,110000,135000,135000,135000,135000,165000,165000
open office download,0.16,1000000,-,110000,0.32,-,-,-,110000,110000,135000,135000,135000,135000,135000,135000,110000,90500,74000,90500
linksys router setup,0.17,165000,-,135000,1.48,-,-,-,74000,74000,60500,74000,135000,201000,246000,165000,165000,135000,165000,135000
xbox 360 slim,0.29,1220000,-,246000,0.84,-,-,-,165000,165000,135000,165000,165000,246000,368000,368000,246000,301000,301000,301000
pdf reader,0.2,1830000,-,301000,0.71,-,-,-,301000,301000,301000,368000,301000,368000,301000,301000,301000,301000,301000,246000
computer repair,0.63,1500000,-,1000000,4.79,-,-,-,823000,823000,823000,1220000,1220000,1220000,1000000,1000000,823000,823000,823000,823000
htc hd2,0.21,2740000,-,368000,1,-,-,-,201000,246000,246000,301000,301000,368000,368000,450000,550000,550000,550000,673000
prepaid cell phones,0.99,201000,-,165000,3.98,-,-,-,165000,135000,135000,165000,165000,201000,201000,165000,165000,165000,165000,165000
pdf creator,0.41,1830000,-,165000,1.26,-,-,-,165000,165000,165000,201000,165000,165000,135000,135000,165000,135000,135000,135000
htc desire,0.25,7480000,-,246000,1.02,-,-,-,-,201000,201000,246000,246000,246000,301000,301000,301000,301000,246000,165000
remote desktop,0.22,4090000,-,1220000,6.98,-,-,-,1220000,1220000,1220000,1500000,1220000,1500000,1220000,1220000,1220000,1220000,1000000,1000000
cheap laptops,1,450000,-,201000,2.99,-,-,-,165000,135000,135000,201000,246000,246000,301000,368000,201000,201000,246000,201000
pdf converter,0.45,4090000,-,450000,1.79,-,-,-,450000,450000,450000,550000,450000,450000,368000,450000,450000,450000,368000,368000
teamspeak,0.1,3350000,-,246000,0.67,-,-,-,246000,246000,201000,246000,246000,246000,301000,246000,246000,246000,201000,201000
flash player update,0.27,368000,-,135000,0.32,-,-,-,135000,135000,165000,201000,135000,110000,110000,110000,90500,90500,135000,110000
reverse look up,0.49,1220000,-,1000000,0.42,-,-,-,823000,823000,823000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1220000
mp3 players,0.61,2240000,-,673000,0.97,-,-,-,450000,450000,450000,673000,673000,823000,1220000,1000000,673000,673000,673000,673000
reverse directory,0.63,1830000,-,1830000,0.55,-,-,-,1830000,1500000,1500000,1830000,1500000,1830000,1830000,1830000,1830000,1830000,1500000,1830000
xbox 360 kinect,0.67,673000,-,201000,1.37,-,-,-,90500,74000,90500,110000,135000,246000,823000,823000,90500,49500,49500,60500
htc hero,0.16,1000000,-,368000,1.52,-,-,-,165000,201000,201000,246000,246000,301000,368000,368000,450000,450000,550000,673000
convert pdf to word,0.43,1500000,-,246000,1.38,-,-,-,246000,246000,246000,301000,246000,246000,201000,201000,246000,246000,165000,165000
reverse phone look up,0.68,368000,-,301000,0.68,-,-,-,246000,246000,201000,301000,246000,301000,301000,301000,301000,301000,301000,301000
microsoft publisher,0.41,673000,-,246000,0.73,-,-,-,165000,246000,246000,301000,246000,246000,246000,246000,246000,246000,165000,135000
palm pre,0.2,823000,-,450000,1.51,-,-,-,246000,246000,246000,368000,368000,368000,450000,450000,550000,550000,550000,673000
spell checker,0.29,823000,-,450000,0.53,-,-,-,368000,450000,450000,550000,450000,550000,450000,450000,450000,450000,368000,368000
popular science,0.07,201000,-,135000,1.13,-,-,-,135000,135000,135000,165000,135000,165000,165000,165000,165000,135000,90500,90500
donkey kong,0.13,2240000,-,550000,0.58,-,-,-,450000,450000,450000,550000,550000,823000,1000000,1000000,450000,368000,368000,368000
kinect games,0.25,450000,-,246000,1.2,-,-,-,165000,165000,201000,246000,246000,450000,823000,550000,60500,27100,18100,22200
