Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
fishing games,0.32,550000,-,201000,0.38,-,-,-,246000,246000,201000,246000,246000,246000,246000,246000,201000,201000,201000,201000
titleist,0.43,673000,-,301000,0.87,-,-,-,450000,368000,368000,368000,301000,246000,301000,246000,246000,246000,301000,368000
ryder cup 2010,0.07,301000,-,90500,0.21,-,-,-,1900,1300,1900,1600,2400,3600,4400,5400,823000,246000,74000,14800
krav maga,0.22,823000,-,201000,0.95,-,-,-,201000,201000,165000,201000,201000,201000,201000,165000,165000,201000,201000,165000
oxyelite pro,0.43,165000,-,135000,1.01,-,-,-,165000,165000,165000,201000,201000,165000,74000,74000,90500,90500,90500,90500
schwinn,0.41,1000000,-,823000,0.64,-,-,-,1000000,1000000,823000,823000,550000,673000,673000,673000,673000,673000,823000,823000
body mass index,0.19,2240000,-,823000,0.38,-,-,-,823000,823000,823000,1000000,1000000,1000000,823000,823000,823000,823000,673000,673000
bikinis,0.5,1220000,-,450000,0.68,-,-,-,-,-,550000,550000,450000,450000,368000,368000,368000,368000,450000,550000
sperry topsiders,0.95,135000,-,110000,0.95,-,-,-,110000,135000,135000,135000,110000,110000,135000,135000,90500,90500,110000,90500
gerber knives,0.54,110000,-,74000,0.4,-,-,-,74000,74000,74000,90500,90500,90500,110000,90500,74000,74000,74000,60500
jumpman23,0.11,74000,-,60500,0.12,-,-,-,60500,60500,74000,74000,90500,74000,90500,60500,40500,33100,40500,33100
stationary,0.58,1830000,-,823000,1.75,-,-,-,673000,823000,823000,1000000,1000000,1000000,1000000,1000000,823000,823000,823000,823000
mountain hardware,0.69,165000,-,135000,0.91,-,-,-,90500,90500,90500,135000,135000,165000,201000,165000,135000,110000,90500,90500
shape magazine,0.39,110000,-,74000,0.25,-,-,-,60500,60500,60500,74000,74000,90500,74000,90500,90500,60500,49500,60500
bowling balls,0.53,301000,-,246000,0.68,-,-,-,165000,165000,201000,301000,368000,368000,368000,301000,246000,246000,201000,165000
elliptical machine,0.91,246000,-,165000,3.53,-,-,-,135000,135000,135000,201000,201000,301000,201000,201000,135000,135000,135000,135000
duluth trading,0.3,60500,-,60500,0.1,-,-,-,40500,49500,49500,60500,60500,74000,135000,110000,49500,40500,33100,33100
cheap air,0.9,3350000,-,1830000,1.3,-,-,-,1830000,1500000,1500000,1830000,1830000,1830000,1500000,1500000,1500000,1500000,1830000,1830000
alabama football schedule 2010,0.03,49500,-,49500,0.22,-,-,-,880,720,720,880,2900,12100,14800,135000,165000,165000,90500,33100
calculate bmi,0.2,201000,-,110000,0.46,-,-,-,90500,110000,110000,135000,110000,110000,90500,110000,110000,110000,60500,60500
edwin watts,0.31,74000,-,60500,0.22,-,-,-,74000,74000,74000,74000,60500,49500,60500,49500,40500,49500,60500,60500
nordic track,0.65,368000,-,301000,1.59,-,-,-,201000,201000,201000,368000,368000,550000,450000,368000,246000,246000,201000,201000
plus size swimwear,1,165000,-,110000,1.82,-,-,-,246000,201000,135000,165000,135000,110000,49500,40500,49500,60500,110000,165000
callaway,0.48,1500000,-,823000,0.78,-,-,-,1000000,1000000,1000000,823000,823000,673000,823000,823000,673000,673000,823000,1000000
tech deck,0.33,673000,-,165000,0.34,-,-,-,90500,110000,135000,165000,135000,165000,301000,301000,301000,201000,165000,135000
tapout,0.42,246000,-,135000,0.7,-,-,-,90500,110000,110000,110000,110000,110000,201000,165000,165000,165000,135000,135000
soccer cleats,0.9,450000,-,368000,0.87,-,-,-,301000,301000,301000,450000,368000,368000,301000,368000,368000,368000,368000,368000
metal mulisha,0.51,165000,-,74000,0.62,-,-,-,60500,74000,74000,74000,74000,74000,90500,74000,74000,60500,74000,60500
monday night football schedule 2010,0.07,40500,-,40500,0.27,-,-,-,73,73,91,91,320,22200,74000,110000,74000,135000,40500,5400
new balance shoes,0.99,246000,-,165000,1.53,-,-,-,165000,165000,165000,201000,165000,201000,201000,201000,165000,165000,201000,165000
ronald mcdonald house,0.1,201000,-,135000,0.63,-,-,-,110000,135000,135000,165000,135000,165000,135000,165000,135000,135000,110000,90500
chuck taylors,0.48,301000,-,165000,0.55,-,-,-,165000,165000,165000,201000,165000,165000,165000,165000,135000,135000,135000,110000
pearl izumi,0.81,201000,-,110000,1.02,-,-,-,110000,110000,110000,110000,90500,110000,135000,110000,110000,110000,110000,110000
lsu football schedule,0.12,49500,-,49500,0.21,-,-,-,18100,12100,12100,8100,9900,33100,22200,110000,135000,135000,60500,27100
kettlebell,0.48,673000,-,301000,1.44,-,-,-,301000,301000,301000,368000,368000,450000,301000,246000,301000,246000,246000,246000
wrestling shoes,0.77,135000,-,110000,0.79,-,-,-,60500,49500,60500,110000,135000,135000,165000,246000,165000,90500,60500,60500
australian open 2011,0.03,368000,-,60500,0.37,-,-,-,9900,8100,6600,9900,22200,673000,14800,5400,3600,3600,1600,1600
baseball bats,0.67,301000,-,246000,0.9,-,-,-,301000,301000,301000,450000,368000,301000,201000,201000,201000,201000,201000,246000
swiss army,0.72,550000,-,301000,1,-,-,-,301000,301000,246000,301000,301000,301000,450000,368000,301000,301000,301000,301000
atlanta thrashers,0.04,110000,-,60500,0.63,-,-,-,74000,165000,27100,40500,49500,49500,60500,60500,74000,27100,18100,18100
bruins schedule,0.2,60500,-,60500,0.61,-,-,-,135000,165000,90500,49500,49500,49500,49500,60500,40500,22200,8100,4400
loyola marymount,0.04,165000,-,135000,1.72,-,-,-,110000,135000,165000,201000,165000,201000,135000,135000,135000,135000,110000,90500
pontoon boats,0.56,246000,-,246000,0.7,-,-,-,368000,301000,246000,246000,201000,165000,90500,90500,135000,165000,246000,368000
24 hour fitness class schedule,0.14,40500,-,40500,0.22,-,-,-,49500,40500,27100,18100,33100,60500,40500,40500,40500,40500,33100,49500
lowrance,0.57,368000,-,201000,0.53,-,-,-,201000,201000,201000,246000,201000,201000,165000,135000,135000,165000,165000,201000
exercise equipment,0.74,823000,-,450000,1.91,-,-,-,301000,301000,301000,450000,550000,673000,550000,450000,450000,368000,368000,368000
eagles schedule,0.17,74000,-,74000,0.37,-,-,-,14800,12100,27100,14800,22200,74000,165000,165000,110000,135000,90500,33100
longboard,0.35,1220000,-,550000,0.63,-,-,-,823000,823000,673000,550000,450000,450000,450000,550000,550000,550000,550000,550000
camping gear,0.73,301000,-,135000,0.98,-,-,-,165000,165000,135000,165000,110000,110000,110000,110000,110000,135000,135000,165000
spyderco,0.27,246000,-,135000,0.54,-,-,-,-,135000,135000,135000,165000,165000,165000,135000,135000,110000,135000,110000
taylor made,0.59,1220000,-,673000,0.73,-,-,-,823000,673000,823000,823000,673000,550000,450000,450000,450000,450000,550000,673000
callaway preowned,0.39,49500,-,40500,0.42,-,-,-,49500,49500,49500,40500,33100,27100,27100,27100,33100,33100,49500,49500
wholesale shoes,0.84,301000,-,165000,0.89,-,-,-,135000,135000,165000,201000,165000,165000,165000,165000,165000,135000,135000,135000
osiris shoes,0.79,90500,-,60500,0.6,-,-,-,40500,49500,60500,74000,60500,60500,74000,74000,49500,40500,60500,40500
rawlings,0.33,368000,-,301000,0.48,-,-,-,301000,301000,301000,368000,301000,246000,246000,246000,246000,246000,246000,246000
trijicon,0.35,110000,-,90500,0.67,-,-,-,90500,90500,90500,110000,110000,110000,90500,90500,74000,74000,74000,74000
personal trainer,0.54,1500000,-,673000,4.74,-,-,-,673000,673000,673000,823000,1000000,1000000,673000,673000,673000,550000,550000,550000
kiawah island,0.45,110000,-,90500,1.7,-,-,-,135000,110000,110000,110000,90500,90500,60500,60500,74000,74000,110000,135000
boston whaler,0.27,165000,-,110000,0.37,-,-,-,165000,135000,110000,110000,90500,90500,60500,74000,90500,110000,165000,165000
suits,0.7,4090000,-,2240000,1.21,-,-,-,-,-,2240000,2740000,2240000,2240000,1830000,1830000,1830000,1830000,1830000,1830000
snowboard,0.38,6120000,-,2240000,0.98,-,-,-,673000,673000,823000,1830000,3350000,5000000,6120000,4090000,2240000,1500000,1220000,823000
cheap jerseys,0.73,301000,-,201000,0.9,-,-,-,135000,135000,165000,165000,201000,301000,368000,301000,246000,201000,165000,110000
etnies,0.5,368000,-,90500,0.56,-,-,-,60500,60500,74000,90500,90500,90500,90500,90500,90500,90500,110000,90500
notre dame football schedule,0.19,60500,-,60500,0.25,-,-,-,22200,18100,18100,14800,18100,33100,33100,110000,135000,201000,90500,40500
zigtech,0.89,201000,-,135000,0.93,-,-,-,110000,165000,201000,246000,135000,135000,165000,165000,60500,74000,110000,33100
tennis shoes,0.8,368000,-,301000,1.11,-,-,-,301000,301000,301000,368000,301000,301000,246000,246000,246000,301000,301000,246000
nada boats,0.19,27100,-,27100,0.18,-,-,-,40500,33100,27100,27100,22200,22200,14800,14800,22200,27100,33100,40500
hoyt bows,0.31,60500,-,49500,0.31,-,-,-,33100,27100,33100,40500,40500,49500,49500,60500,74000,60500,60500,40500
monokini,0.91,201000,-,90500,0.76,-,-,-,165000,165000,135000,135000,110000,74000,33100,33100,33100,33100,60500,90500
osu football schedule 2010,0.05,22200,-,22200,0.3,-,-,-,110,140,110,170,590,5400,6600,60500,74000,90500,40500,12100
helly hansen,0.65,450000,-,74000,0.76,-,-,-,40500,40500,40500,60500,74000,110000,135000,110000,90500,60500,49500,40500
targets,0.22,1220000,-,550000,0.55,-,-,-,550000,550000,550000,673000,673000,673000,673000,673000,550000,450000,450000,450000
agile,0.22,1500000,-,301000,6.35,-,-,-,368000,368000,368000,368000,368000,368000,301000,301000,301000,301000,301000,246000
soccer balls,0.45,368000,-,201000,0.7,-,-,-,165000,246000,201000,246000,201000,201000,201000,246000,246000,301000,201000,201000
denise austin,0.32,74000,-,60500,0.39,-,-,-,49500,49500,49500,60500,60500,90500,60500,60500,74000,74000,74000,60500
bmi calculator female,0.27,90500,-,60500,0.37,-,-,-,110000,74000,49500,74000,74000,110000,60500,49500,33100,22200,18100,49500
ariat,0.81,368000,-,201000,1.07,-,-,-,135000,135000,165000,201000,201000,246000,301000,301000,246000,201000,165000,135000
surfboards,0.35,1220000,-,550000,0.54,-,-,-,673000,550000,550000,550000,450000,550000,450000,450000,450000,550000,673000,673000
demarini,0.62,201000,-,165000,0.61,-,-,-,246000,246000,246000,246000,201000,135000,90500,90500,90500,110000,135000,165000
fixie,0.57,673000,-,135000,0.78,-,-,-,201000,201000,165000,165000,110000,110000,110000,110000,135000,135000,135000,110000
trampolines,0.79,1500000,-,550000,1.47,-,-,-,673000,673000,673000,673000,450000,550000,673000,673000,368000,450000,450000,550000
swiss army knife,0.64,135000,-,74000,1,-,-,-,74000,60500,60500,60500,60500,74000,110000,74000,60500,60500,60500,60500
soccer shoes,0.93,450000,-,301000,0.94,-,-,-,301000,246000,301000,368000,301000,301000,301000,368000,301000,301000,368000,301000
resistance bands,0.56,246000,-,135000,0.93,-,-,-,135000,135000,135000,165000,165000,201000,135000,135000,135000,135000,135000,135000
best running shoes,0.37,165000,-,110000,1.28,-,-,-,135000,135000,135000,165000,110000,110000,90500,90500,90500,90500,110000,90500
swimsuit,0.4,1500000,-,1000000,1.05,-,-,-,-,-,1000000,1220000,1500000,823000,550000,550000,550000,550000,823000,1000000
cricket live,0.08,9140000,-,450000,0.29,-,-,-,165000,165000,673000,1830000,673000,301000,246000,246000,301000,135000,165000,110000
gymnastics leotards,0.89,110000,-,74000,0.72,-,-,-,60500,49500,49500,74000,74000,74000,74000,90500,74000,74000,74000,60500
minn kota,0.56,201000,-,110000,0.54,-,-,-,165000,165000,165000,165000,110000,90500,60500,74000,74000,90500,110000,135000
scuba,0.33,2740000,-,1220000,1.29,-,-,-,1220000,1220000,1000000,1220000,1220000,1220000,1000000,1000000,1000000,1220000,1220000,1220000
kripalu,0.13,60500,-,33100,0.17,-,-,-,40500,33100,40500,40500,40500,40500,33100,33100,33100,33100,33100,33100
foam roller,0.66,135000,-,74000,1.07,-,-,-,90500,74000,90500,90500,90500,90500,74000,74000,74000,60500,60500,60500
boxing gloves,0.57,246000,-,110000,0.7,-,-,-,110000,110000,110000,135000,135000,135000,135000,135000,110000,110000,90500,90500
weight chart,0.22,673000,-,450000,0.55,-,-,-,450000,450000,368000,450000,450000,550000,368000,368000,368000,368000,368000,368000
hammocks,0.79,673000,-,450000,1.36,-,-,-,673000,550000,450000,450000,368000,368000,301000,301000,301000,368000,450000,550000
flat belly diet,0.34,60500,-,40500,0.39,-,-,-,40500,49500,40500,49500,40500,60500,22200,27100,40500,40500,40500,40500
oceanic cable,0.2,40500,-,40500,2.73,-,-,-,40500,33100,33100,33100,33100,40500,40500,40500,40500,40500,33100,33100
pellet guns,0.39,165000,-,110000,0.47,-,-,-,135000,110000,110000,135000,110000,135000,135000,135000,110000,90500,110000,110000
notre dame football schedule 2010,0.11,22200,-,22200,0.29,-,-,-,480,480,480,590,590,1600,5400,33100,60500,90500,49500,22200
sweatpants,0.64,368000,-,301000,1.13,-,-,-,165000,165000,201000,301000,301000,368000,550000,450000,368000,246000,165000,135000
duke basketball schedule,0.07,33100,-,33100,0.29,-,-,-,3600,2900,2900,49500,60500,74000,60500,74000,22200,9900,8100,4400
whistling straits,0.16,49500,-,40500,0.37,-,-,-,18100,14800,12100,8100,6600,6600,6600,8100,12100,14800,368000,40500
proform,0.51,673000,-,450000,1.44,-,-,-,301000,301000,368000,450000,550000,673000,550000,450000,368000,368000,301000,301000
jordan heels,0.26,60500,-,49500,0.35,-,-,-,22200,33100,40500,60500,74000,60500,90500,110000,74000,14800,12100,9900
football helmets,0.6,201000,-,201000,0.68,-,-,-,90500,110000,90500,110000,135000,201000,201000,246000,301000,301000,246000,135000
jack lalanne juicer,0.68,60500,-,49500,0.61,-,-,-,33100,33100,33100,40500,60500,90500,60500,49500,40500,40500,40500,40500
barefoot running shoes,0.93,33100,-,27100,1.16,-,-,-,27100,33100,33100,27100,22200,18100,27100,22200,18100,22200,49500,27100
beach chairs,0.97,135000,-,110000,0.76,-,-,-,201000,165000,110000,90500,60500,74000,49500,40500,40500,60500,135000,201000
siena,0.26,4090000,-,673000,1.82,-,-,-,673000,673000,673000,1000000,823000,823000,673000,673000,673000,673000,673000,673000
brooks shoes,1,90500,-,60500,1.14,-,-,-,60500,60500,60500,74000,60500,60500,49500,60500,60500,60500,60500,60500
nebraska football schedule,0.07,40500,-,33100,0.24,-,-,-,12100,9900,12100,9900,9900,14800,40500,74000,90500,90500,49500,18100
softball bats,0.79,165000,-,165000,0.95,-,-,-,201000,201000,201000,246000,201000,135000,90500,110000,110000,135000,165000,165000
acc tournament 2011,0.06,40500,-,40500,0.72,-,-,-,1900,33100,8100,368000,33100,14800,6600,5400,2400,1300,1000,720
folding chairs,0.98,301000,-,201000,1.72,-,-,-,246000,201000,201000,201000,201000,201000,201000,246000,165000,201000,246000,246000
exercise ball,0.34,301000,-,165000,0.92,-,-,-,165000,165000,165000,201000,201000,246000,165000,165000,165000,165000,165000,165000
exercise bike,0.75,450000,-,201000,1.52,-,-,-,165000,165000,165000,201000,246000,301000,246000,246000,201000,165000,165000,165000
loaded longboards,0.47,49500,-,22200,1.2,-,-,-,27100,33100,27100,22200,18100,18100,22200,27100,27100,22200,22200,18100
customize shoes,0.58,74000,-,60500,0.43,-,-,-,60500,74000,74000,90500,74000,74000,74000,74000,60500,49500,40500,40500
lsu baseball,0.06,33100,-,33100,0.2,-,-,-,22200,60500,74000,110000,60500,18100,9900,12100,18100,14800,9900,9900
mitchell on demand,0.12,60500,-,33100,0.35,-,-,-,33100,33100,33100,40500,33100,33100,27100,33100,33100,27100,27100,27100
sleeping bags,0.78,673000,-,301000,1.03,-,-,-,301000,301000,246000,301000,301000,301000,450000,450000,301000,246000,301000,246000
carolina skiff,0.22,49500,-,49500,0.42,-,-,-,74000,60500,49500,60500,40500,40500,27100,27100,33100,40500,49500,60500
proform treadmill,0.69,165000,-,135000,1.62,-,-,-,90500,90500,90500,135000,165000,246000,165000,165000,110000,90500,90500,90500
koozies,0.93,165000,-,135000,2.48,-,-,-,201000,165000,135000,165000,135000,135000,110000,110000,110000,135000,165000,165000
the fighter movie,0.05,246000,-,90500,0.8,-,-,-,60500,60500,90500,135000,135000,165000,201000,60500,74000,60500,60500,49500
triathlon training,0.25,135000,-,90500,1.06,-,-,-,110000,90500,74000,90500,74000,110000,74000,60500,60500,60500,74000,90500
k2 skis,0.65,110000,-,49500,0.67,-,-,-,12100,12100,27100,60500,90500,110000,110000,90500,60500,40500,27100,22200
bike shop,0.19,1830000,-,823000,0.78,-,-,-,1000000,1000000,823000,823000,673000,550000,550000,550000,550000,823000,1000000,1000000
islamorada,0.39,165000,-,135000,1.28,-,-,-,165000,165000,165000,201000,165000,165000,110000,110000,90500,90500,110000,135000
scuba gear,0.76,90500,-,60500,1.55,-,-,-,74000,60500,49500,60500,60500,60500,60500,49500,49500,60500,74000,74000
qigong,0.37,368000,-,90500,0.77,-,-,-,90500,90500,90500,110000,110000,110000,90500,90500,90500,90500,90500,90500
air force ones,0.43,673000,-,301000,0.65,-,-,-,246000,301000,246000,368000,368000,368000,368000,301000,301000,301000,368000,246000
recumbent bike,0.79,201000,-,165000,1.38,-,-,-,165000,135000,135000,165000,165000,201000,165000,135000,135000,135000,135000,135000
punching bag,0.51,246000,-,110000,0.62,-,-,-,90500,90500,90500,110000,110000,135000,165000,135000,110000,90500,90500,90500
adjustable dumbbells,0.86,60500,-,40500,1.27,-,-,-,40500,40500,40500,49500,49500,60500,49500,40500,33100,33100,33100,33100
mavic,0.49,823000,-,135000,0.63,-,-,-,165000,165000,135000,165000,135000,110000,110000,135000,135000,135000,165000,165000
washington sports club,0.07,33100,-,27100,0.39,-,-,-,27100,27100,27100,27100,33100,40500,27100,27100,27100,27100,27100,27100
fishing boats,0.47,368000,-,246000,0.7,-,-,-,368000,301000,246000,301000,246000,246000,165000,165000,165000,201000,301000,301000
klean kanteen,0.56,60500,-,40500,1.15,-,-,-,40500,33100,40500,33100,33100,33100,40500,40500,33100,40500,49500,40500
sugar bowl 2011,0.07,27100,-,27100,0.7,-,-,-,1900,1600,5400,3600,6600,165000,90500,40500,4400,1900,1300,720
bcs bowl games,0.09,33100,-,33100,0.42,-,-,-,1600,1300,1900,2400,2400,74000,201000,74000,14800,6600,2900,1900
mma gear,0.87,90500,-,49500,1.14,-,-,-,40500,40500,40500,49500,49500,49500,60500,49500,49500,49500,40500,49500
the fighter trailer,0.03,60500,-,22200,0.68,-,-,-,6600,6600,12100,22200,22200,60500,74000,18100,9900,27100,8100,6600
bicycling magazine,0.26,74000,-,33100,0.57,-,-,-,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,40500,60500
paintball gear,0.66,60500,-,40500,0.74,-,-,-,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,33100,33100
wenger,0.33,1000000,-,201000,0.79,-,-,-,165000,165000,165000,201000,201000,201000,201000,201000,165000,201000,201000,165000
vix swimwear,1,27100,-,22200,1.46,-,-,-,33100,27100,27100,33100,27100,27100,12100,9900,6600,9900,14800,27100
ice skates,0.22,1220000,-,823000,0.71,-,-,-,246000,246000,301000,550000,1000000,1830000,2240000,1000000,450000,368000,301000,301000
title boxing,0.14,60500,-,33100,0.21,-,-,-,40500,40500,40500,49500,40500,40500,40500,40500,27100,27100,27100,27100
beach cruiser,0.77,201000,-,135000,0.62,-,-,-,201000,165000,165000,135000,90500,90500,90500,90500,90500,110000,165000,165000
body mass index for women,0.26,201000,-,135000,0.4,-,-,-,201000,135000,110000,135000,165000,246000,135000,135000,110000,90500,74000,110000
snowboard gear,0.81,135000,-,74000,1.1,-,-,-,14800,9900,14800,49500,90500,165000,201000,165000,74000,49500,40500,22200
motorized bicycle,0.7,74000,-,49500,0.52,-,-,-,60500,74000,60500,60500,40500,40500,33100,33100,40500,49500,40500,40500
pickleball,0.6,40500,-,40500,0.54,-,-,-,40500,40500,40500,49500,49500,49500,40500,40500,40500,27100,27100,22200
tpc sawgrass,0.39,33100,-,27100,2.5,-,-,-,22200,110000,33100,22200,18100,18100,14800,12100,14800,14800,14800,14800
mountain gear,0.55,165000,-,60500,0.75,-,-,-,49500,49500,49500,60500,60500,60500,74000,60500,60500,49500,49500,49500
michigan football schedule,0.03,110000,-,110000,0.26,-,-,-,33100,22200,22200,22200,18100,49500,40500,201000,301000,368000,110000,40500
rollerblades,0.5,823000,-,301000,0.68,-,-,-,301000,301000,301000,368000,301000,368000,368000,301000,246000,246000,246000,246000
motobecane,0.23,135000,-,74000,0.34,-,-,-,90500,90500,74000,74000,49500,49500,40500,49500,60500,74000,90500,90500
petzl,0.46,368000,-,60500,1.19,-,-,-,60500,60500,49500,60500,60500,60500,74000,74000,60500,60500,49500,49500
rowing machine,0.71,165000,-,74000,1.34,-,-,-,60500,60500,60500,74000,90500,90500,90500,74000,60500,60500,60500,60500
orla kiely,0.78,135000,-,33100,0.48,-,-,-,33100,27100,27100,33100,33100,40500,40500,33100,33100,33100,33100,33100
nordictrack,0.64,368000,-,301000,1.61,-,-,-,201000,201000,201000,368000,368000,550000,450000,368000,246000,246000,201000,201000
aluminum boats,0.48,165000,-,110000,0.53,-,-,-,135000,135000,110000,135000,110000,110000,74000,74000,90500,90500,110000,110000
