Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
clip in hair extensions,0.85,201000,-,110000,0.89,-,-,-,135000,135000,135000,135000,110000,135000,110000,90500,110000,90500,110000,90500
bandana,0.5,823000,-,301000,0.84,-,-,-,368000,368000,301000,368000,301000,368000,301000,301000,368000,301000,301000,368000
mighty wallet,0.31,33100,-,22200,0.41,-,-,-,27100,22200,22200,27100,33100,33100,49500,33100,14800,5400,6600,9900
ugly dolls,0.35,74000,-,49500,0.54,-,-,-,40500,33100,40500,40500,40500,49500,74000,60500,49500,40500,40500,40500
laptop cases,0.89,550000,-,301000,1.16,-,-,-,246000,201000,201000,301000,301000,368000,450000,301000,246000,246000,301000,301000
baggallini,1,40500,-,33100,1.07,-,-,-,40500,40500,40500,40500,33100,40500,40500,33100,33100,33100,33100,33100
beach towels,0.96,165000,-,110000,1.32,-,-,-,201000,165000,135000,135000,110000,90500,90500,74000,49500,60500,110000,165000
ogio,0.49,246000,-,90500,0.76,-,-,-,90500,90500,90500,110000,90500,90500,110000,90500,74000,90500,110000,90500
hair bows,0.42,368000,-,301000,0.45,-,-,-,301000,368000,450000,450000,246000,301000,246000,301000,368000,301000,301000,201000
prescription sunglasses,0.97,201000,-,135000,1.64,-,-,-,165000,165000,135000,165000,165000,135000,110000,90500,110000,110000,110000,135000
bandanas,0.55,550000,-,301000,0.91,-,-,-,301000,301000,246000,301000,301000,301000,246000,246000,301000,301000,301000,301000
remy hair,0.79,201000,-,135000,0.64,-,-,-,165000,165000,135000,165000,135000,135000,135000,110000,110000,110000,110000,90500
kelty,0.59,246000,-,165000,0.87,-,-,-,201000,201000,165000,201000,165000,165000,135000,135000,135000,135000,165000,201000
beanie,0.34,1220000,-,673000,0.67,-,-,-,550000,450000,550000,673000,673000,1000000,1220000,1000000,823000,673000,550000,550000
beret,0.21,823000,-,246000,0.58,-,-,-,246000,301000,246000,246000,246000,301000,301000,301000,301000,246000,201000,201000
cheap sunglasses,0.97,246000,-,135000,1.42,-,-,-,201000,165000,135000,165000,135000,135000,110000,110000,110000,110000,135000,135000
aluma wallet,0.89,33100,-,27100,0.27,-,-,-,40500,40500,60500,74000,60500,60500,9900,880,0,0,-,-
briefcase,0.71,550000,-,301000,1.4,-,-,-,301000,246000,246000,301000,368000,368000,450000,368000,301000,301000,301000,246000
polarized sunglasses,0.86,165000,-,90500,1.42,-,-,-,135000,135000,110000,110000,90500,74000,74000,60500,60500,74000,90500,110000
beanies,0.4,1000000,-,550000,0.65,-,-,-,368000,368000,368000,550000,550000,823000,1000000,823000,673000,550000,450000,368000
smith sunglasses,0.79,60500,-,40500,1.04,-,-,-,49500,49500,40500,49500,40500,40500,40500,33100,40500,40500,49500,60500
aviators,0.56,823000,-,368000,1.05,-,-,-,368000,368000,368000,368000,368000,368000,368000,301000,301000,301000,301000,301000
chrome bags,0.5,40500,-,27100,0.44,-,-,-,27100,27100,27100,27100,27100,27100,27100,27100,22200,27100,27100,22200
etienne aigner,0.85,74000,-,40500,0.71,-,-,-,33100,33100,33100,40500,40500,49500,74000,60500,49500,40500,33100,27100
handkerchief,0.56,301000,-,135000,0.67,-,-,-,135000,135000,135000,135000,135000,135000,135000,135000,135000,110000,135000,135000
brahmin,0.3,301000,-,90500,0.54,-,-,-,74000,90500,90500,110000,110000,110000,110000,90500,110000,90500,74000,60500
b makowsky,0.97,60500,-,60500,0.93,-,-,-,40500,49500,49500,60500,60500,60500,74000,60500,60500,60500,60500,49500
electric sunglasses,0.59,49500,-,33100,1.23,-,-,-,33100,33100,27100,33100,27100,27100,27100,27100,27100,27100,33100,40500
safety glasses,0.92,201000,-,135000,1.87,-,-,-,135000,135000,135000,165000,135000,165000,110000,110000,135000,165000,135000,110000
purse,0.43,1830000,-,1500000,0.7,-,-,-,-,-,1220000,1500000,1220000,1500000,1830000,1500000,1500000,1220000,1220000,1220000
hobo international,0.9,40500,-,40500,0.93,-,-,-,-,33100,33100,33100,40500,40500,49500,40500,40500,33100,33100,33100
59fifty,0.41,135000,-,74000,0.43,-,-,-,74000,74000,90500,90500,74000,74000,74000,74000,60500,60500,60500,60500
fingerless gloves,0.62,135000,-,74000,0.86,-,-,-,40500,33100,40500,49500,74000,110000,201000,135000,110000,60500,40500,40500
money clip,0.8,246000,-,165000,1.14,-,-,-,135000,135000,110000,135000,135000,165000,246000,201000,135000,135000,135000,110000
fedora hat,0.75,110000,-,74000,0.79,-,-,-,74000,74000,74000,74000,74000,74000,90500,60500,74000,60500,60500,60500
tignanello,0.93,60500,-,40500,0.6,-,-,-,40500,40500,49500,49500,49500,49500,60500,40500,40500,40500,40500,33100
kangol,0.83,135000,-,49500,0.56,-,-,-,49500,40500,40500,49500,60500,60500,90500,74000,60500,40500,40500,40500
saddleback leather,0.29,27100,-,22200,0.36,-,-,-,27100,22200,27100,27100,22200,27100,27100,22200,14800,14800,18100,14800
big buddha,0.76,90500,-,60500,0.7,-,-,-,49500,60500,60500,74000,60500,60500,60500,60500,60500,60500,49500,40500
wayfarer,0.54,823000,-,246000,1.02,-,-,-,368000,301000,246000,246000,201000,201000,201000,165000,165000,201000,201000,246000
purse organizer,0.91,49500,-,40500,0.73,-,-,-,27100,27100,27100,40500,40500,49500,49500,40500,40500,33100,40500,40500
stetson hats,0.81,40500,-,33100,0.47,-,-,-,27100,27100,33100,33100,33100,33100,40500,33100,27100,27100,22200,22200
ray ban aviators,0.78,135000,-,40500,0.99,-,-,-,60500,49500,49500,49500,40500,33100,40500,33100,27100,33100,40500,49500
winter hats,0.75,165000,-,110000,0.99,-,-,-,18100,14800,18100,33100,90500,201000,450000,246000,135000,74000,40500,22200
baby headbands,0.85,74000,-,49500,0.69,-,-,-,49500,49500,49500,60500,49500,49500,40500,49500,49500,49500,49500,49500
jessica simpson hair extensions,0.93,27100,-,14800,0.79,-,-,-,14800,14800,14800,14800,14800,18100,14800,14800,18100,18100,18100,14800
tyvek wristbands,1,27100,-,18100,5.11,-,-,-,14800,14800,18100,33100,27100,27100,22200,18100,14800,14800,14800,12100
keychains,0.65,673000,-,550000,1.19,-,-,-,450000,450000,450000,550000,550000,550000,673000,550000,450000,450000,450000,450000
