Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
bean bag chairs,1,201000,-,165000,1.43,-,-,-,110000,90500,90500,135000,135000,165000,368000,301000,135000,135000,135000,110000
window treatments,0.89,550000,-,450000,2.19,-,-,-,368000,368000,368000,450000,550000,550000,368000,450000,450000,368000,450000,450000
lamps,0.73,16600000,-,7480000,1.44,-,-,-,6120000,6120000,6120000,9140000,9140000,11100000,9140000,9140000,7480000,7480000,7480000,6120000
big green egg,0.47,201000,-,165000,0.34,-,-,-,246000,201000,165000,135000,110000,110000,165000,165000,110000,135000,135000,165000
discount furniture,0.77,450000,-,368000,1.61,-,-,-,368000,368000,368000,450000,450000,450000,368000,368000,368000,368000,368000,368000
bissell,0.59,673000,-,550000,1.09,-,-,-,450000,450000,450000,550000,550000,550000,550000,673000,550000,450000,450000,450000
comforters,0.94,1220000,-,1220000,1.2,-,-,-,1000000,823000,823000,1220000,1220000,1500000,1220000,1220000,1000000,1000000,1220000,1220000
cabinets to go,0.76,74000,-,74000,0.9,-,-,-,49500,49500,49500,74000,90500,90500,60500,74000,74000,40500,74000,60500
diatomaceous earth,0.39,165000,-,135000,0.69,-,-,-,201000,165000,135000,110000,74000,90500,74000,90500,135000,135000,135000,135000
chandeliers,0.92,1000000,-,673000,2.21,-,-,-,550000,550000,550000,823000,823000,823000,673000,673000,673000,550000,673000,550000
above ground pools,0.97,368000,-,301000,1.66,-,-,-,1000000,673000,368000,301000,201000,135000,90500,74000,110000,165000,301000,550000
dvr,0.39,3350000,-,1000000,1.74,-,-,-,823000,823000,1000000,1000000,1000000,1220000,1220000,1220000,1220000,1220000,1000000,1000000
corelle,0.77,301000,-,201000,0.42,-,-,-,165000,165000,165000,201000,165000,246000,301000,301000,201000,165000,165000,165000
bernie and phyls,0.07,49500,-,49500,0.12,-,-,-,40500,49500,49500,60500,60500,74000,49500,60500,49500,49500,60500,40500
replacement windows,0.84,673000,-,368000,7.48,-,-,-,368000,301000,368000,450000,450000,368000,368000,368000,450000,450000,368000,368000
contemporary furniture,0.9,246000,-,135000,1.68,-,-,-,-,135000,135000,165000,165000,201000,165000,165000,135000,135000,165000,165000
troy bilt,0.71,301000,-,301000,0.72,-,-,-,450000,550000,450000,368000,201000,246000,201000,201000,246000,246000,301000,301000
hot tubs,0.63,2240000,-,1220000,2.33,-,-,-,1220000,1220000,1220000,1220000,1220000,1500000,1000000,1220000,1220000,1220000,1220000,1500000
lawn mower,0.64,2240000,-,1500000,0.89,-,-,-,2240000,2740000,2740000,1830000,1000000,823000,673000,823000,1000000,1220000,1830000,1830000
computer desk,0.94,823000,-,450000,1.86,-,-,-,368000,368000,368000,550000,550000,550000,450000,450000,368000,368000,450000,368000
sectional sofas,1,246000,-,201000,1.26,-,-,-,165000,165000,165000,246000,246000,301000,201000,246000,201000,165000,201000,165000
george foreman grill,0.53,201000,-,135000,0.84,-,-,-,135000,110000,90500,110000,110000,165000,165000,165000,110000,110000,110000,110000
platform beds,1,301000,-,246000,1.56,-,-,-,201000,201000,201000,246000,301000,301000,201000,246000,246000,246000,301000,246000
ina garten,0.03,368000,-,301000,0.33,-,-,-,246000,246000,301000,368000,301000,301000,368000,673000,201000,201000,165000,165000
cooks illustrated,0.15,165000,-,165000,0.4,-,-,-,135000,135000,135000,165000,165000,201000,246000,246000,165000,135000,135000,110000
bunk beds,0.95,823000,-,450000,1.13,-,-,-,450000,450000,368000,550000,550000,673000,450000,450000,368000,450000,550000,450000
ceiling fans,0.86,823000,-,673000,1.86,-,-,-,823000,673000,550000,673000,550000,550000,450000,550000,550000,550000,673000,823000
bar stools,0.59,1000000,-,823000,1.82,-,-,-,1000000,823000,823000,1000000,1000000,1000000,823000,823000,823000,673000,673000,673000
area rugs,0.98,450000,-,368000,2.09,-,-,-,368000,301000,301000,450000,450000,550000,368000,450000,368000,368000,368000,368000
carpet cleaning,0.75,1830000,-,1220000,6.21,-,-,-,1220000,1220000,1220000,1500000,1500000,1500000,1220000,1220000,1220000,1220000,1220000,1220000
cutco,0.22,110000,-,110000,0.34,-,-,-,165000,110000,74000,90500,74000,90500,135000,110000,90500,74000,110000,135000
bedspreads,1,550000,-,301000,1.04,-,-,-,301000,301000,246000,368000,368000,368000,301000,301000,301000,301000,301000,368000
mattresses,0.84,5000000,-,3350000,2.62,-,-,-,3350000,2740000,2740000,3350000,4090000,4090000,3350000,3350000,2740000,3350000,3350000,3350000
schlage,0.63,550000,-,165000,2.62,-,-,-,165000,165000,165000,201000,165000,201000,165000,165000,165000,165000,165000,165000
room store,0.31,368000,-,246000,0.36,-,-,-,201000,201000,201000,246000,246000,301000,201000,246000,201000,201000,201000,201000
gun safes,0.83,301000,-,246000,2.11,-,-,-,201000,201000,201000,301000,301000,368000,368000,301000,246000,201000,201000,165000
bedroom sets,0.97,450000,-,368000,1.15,-,-,-,301000,301000,301000,450000,450000,450000,368000,368000,301000,301000,368000,368000
living room furniture,0.88,201000,-,110000,1.44,-,-,-,110000,110000,110000,135000,135000,165000,110000,135000,110000,110000,110000,110000
bed frames,0.96,550000,-,368000,1.19,-,-,-,368000,368000,301000,368000,368000,450000,301000,368000,301000,368000,368000,368000
unfinished furniture,0.8,165000,-,165000,0.9,-,-,-,135000,135000,135000,165000,165000,201000,165000,165000,165000,165000,165000,165000
annas linens,0.09,165000,-,165000,0.26,-,-,-,165000,165000,165000,201000,201000,165000,201000,201000,135000,135000,135000,135000
viking appliances,0.86,60500,-,49500,1.3,-,-,-,40500,40500,49500,60500,49500,60500,49500,60500,49500,49500,49500,49500
pressure cooker,0.48,550000,-,368000,0.68,-,-,-,301000,301000,301000,368000,368000,450000,450000,450000,368000,301000,301000,246000
bed in a bag,0.9,246000,-,165000,1.04,-,-,-,165000,135000,135000,165000,201000,201000,201000,201000,165000,165000,165000,201000
venus fly trap,0.4,165000,-,90500,0.54,-,-,-,90500,135000,110000,110000,90500,90500,74000,90500,90500,90500,74000,60500
air conditioners,0.83,3350000,-,1830000,2.98,-,-,-,4090000,2740000,1500000,1500000,1220000,1000000,823000,823000,1000000,1500000,2240000,4090000
hydrangea,0.3,673000,-,368000,0.75,-,-,-,673000,673000,550000,450000,246000,246000,135000,201000,301000,301000,368000,450000
