Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
hidden object games,0.76,1000000,-,368000,0.62,-,-,-,368000,450000,368000,368000,368000,450000,368000,368000,368000,368000,301000,368000
telephone directory,0.56,4090000,-,1830000,0.54,-,-,-,1830000,1830000,1830000,2240000,1830000,2240000,1830000,1830000,1830000,1830000,1830000,1830000
latin translation,0.05,823000,-,450000,0.32,-,-,-,246000,368000,368000,450000,450000,450000,450000,450000,450000,550000,368000,301000
book stores,0.2,2240000,-,1220000,0.79,-,-,-,1220000,1220000,1000000,1220000,1220000,1830000,1500000,1220000,1220000,1220000,1500000,1220000
girl names,0.14,4090000,-,1830000,0.25,-,-,-,2240000,2240000,2240000,2240000,2240000,2240000,2240000,1830000,1830000,1830000,1500000,1830000
spanish english translation,0.06,2740000,-,2240000,0.15,-,-,-,1500000,1830000,1830000,1830000,2240000,2740000,2740000,3350000,2740000,2740000,1830000,1500000
german to english translation,0.03,673000,-,301000,0.2,-,-,-,246000,246000,246000,301000,301000,301000,368000,368000,368000,368000,301000,301000
national geographic kids,0.26,301000,-,165000,0.34,-,-,-,135000,246000,201000,246000,201000,201000,165000,201000,165000,135000,74000,60500
hunting games,0.28,673000,-,368000,0.4,-,-,-,246000,301000,301000,368000,368000,450000,673000,550000,450000,301000,246000,246000
skateboarding games,0.27,550000,-,201000,0.25,-,-,-,165000,201000,201000,201000,201000,201000,246000,246000,246000,201000,201000,201000
baseball games,0.32,450000,-,368000,0.51,-,-,-,450000,550000,450000,368000,246000,201000,201000,246000,368000,301000,368000,450000
pennysaver,0.15,301000,-,301000,0.6,-,-,-,301000,301000,246000,301000,246000,301000,246000,246000,301000,301000,246000,246000
english to french translation,0.03,1500000,-,550000,0.2,-,-,-,368000,450000,450000,550000,550000,550000,550000,550000,673000,673000,450000,450000
cnn live,0.18,550000,-,201000,0.21,-,-,-,450000,450000,165000,450000,201000,165000,110000,135000,165000,110000,74000,110000
baby names and meanings,0.15,450000,-,246000,0.24,-,-,-,201000,201000,201000,246000,246000,301000,246000,246000,246000,201000,201000,246000
battlefield bad company 2,0.03,2240000,-,368000,1.09,-,-,-,246000,246000,246000,301000,301000,450000,550000,301000,301000,301000,368000,450000
cheap textbooks,0.97,368000,-,301000,2.06,-,-,-,165000,165000,110000,165000,201000,673000,246000,135000,135000,368000,823000,246000
public records,0.39,1500000,-,1500000,0.46,-,-,-,1500000,1220000,1220000,1500000,1500000,1500000,1220000,1220000,1500000,1500000,1500000,1500000
french translator,0.02,1830000,-,823000,0.19,-,-,-,450000,673000,673000,823000,823000,823000,823000,1000000,1000000,1000000,673000,550000
translator spanish to english,0.04,2240000,-,1830000,0.18,-,-,-,1000000,1220000,1220000,1500000,1830000,2240000,2240000,2240000,2240000,2240000,1220000,1220000
driving directions google,0.15,246000,-,201000,0.11,-,-,-,246000,246000,165000,165000,165000,201000,165000,165000,165000,165000,201000,201000
classifieds,0.22,6120000,-,2740000,0.58,-,-,-,2740000,2740000,2740000,3350000,3350000,3350000,2740000,2740000,2740000,2740000,2740000,2740000
bloons tower defense 5,0.12,246000,-,110000,0.1,-,-,-,110000,165000,110000,135000,110000,110000,135000,110000,110000,90500,60500,74000
fushigi,0.05,450000,-,246000,0.4,-,-,-,90500,90500,90500,110000,110000,165000,550000,368000,246000,301000,450000,550000
bejeweled blitz,0.26,450000,-,165000,0.43,-,-,-,90500,90500,90500,110000,110000,165000,165000,201000,201000,246000,246000,201000
fushigi ball,0.33,110000,-,110000,0.33,-,-,-,5400,6600,8100,14800,18100,49500,246000,165000,110000,135000,201000,368000
rpg games,0.35,1220000,-,450000,1.16,-,-,-,550000,450000,450000,550000,450000,550000,550000,550000,450000,450000,450000,550000
dex online,0.22,550000,-,110000,0.12,-,-,-,90500,90500,90500,90500,90500,110000,135000,110000,135000,135000,165000,165000
unique baby names,0.19,201000,-,135000,0.29,-,-,-,135000,110000,110000,135000,135000,165000,165000,135000,135000,135000,110000,135000
