Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
dansko shoes,1,74000,-,74000,1.2,-,-,-,-,49500,60500,74000,90500,90500,74000,74000,74000,60500,60500,49500
sperry shoes,0.96,90500,-,90500,0.94,-,-,-,90500,90500,110000,110000,74000,60500,110000,90500,60500,60500,90500,74000
wholesale shoes,0.84,301000,-,165000,0.89,-,-,-,135000,135000,165000,201000,165000,165000,165000,165000,165000,135000,135000,135000
slippers,0.68,2240000,-,1000000,1.05,-,-,-,550000,550000,550000,823000,1000000,1220000,2740000,1830000,1220000,823000,550000,550000
osiris shoes,0.79,90500,-,60500,0.6,-,-,-,40500,49500,60500,74000,60500,60500,74000,74000,49500,40500,60500,40500
mens shoes,0.86,1500000,-,823000,1.26,-,-,-,823000,673000,823000,1000000,823000,1000000,1000000,823000,823000,673000,673000,673000
winter boots,0.91,450000,-,246000,1.28,-,-,-,27100,18100,27100,60500,246000,450000,673000,450000,301000,165000,90500,49500
the walking company,0.3,90500,-,90500,0.31,-,-,-,74000,74000,74000,74000,74000,110000,135000,110000,74000,74000,60500,60500
reef sandals,0.96,74000,-,60500,0.98,-,-,-,90500,74000,60500,60500,40500,33100,33100,33100,33100,49500,74000,110000
tom shoes,0.49,135000,-,90500,0.5,-,-,-,110000,135000,135000,135000,90500,90500,110000,90500,74000,74000,90500,60500
etnies,0.5,368000,-,90500,0.56,-,-,-,60500,60500,74000,90500,90500,90500,90500,90500,90500,90500,110000,90500
western wear,0.6,301000,-,246000,0.68,-,-,-,201000,201000,201000,246000,246000,246000,368000,301000,246000,246000,201000,201000
zigtech,0.89,201000,-,135000,0.93,-,-,-,110000,165000,201000,246000,135000,135000,165000,165000,60500,74000,110000,33100
designer shoes,0.78,301000,-,135000,1.44,-,-,-,135000,135000,135000,165000,165000,165000,135000,135000,135000,135000,135000,135000
tennis shoes,0.8,368000,-,301000,1.11,-,-,-,301000,301000,301000,368000,301000,301000,246000,246000,246000,301000,301000,246000
chinese laundry,0.47,110000,-,74000,0.5,-,-,-,74000,74000,74000,90500,74000,90500,110000,90500,90500,74000,60500,60500
mercurial,0.39,1830000,-,301000,0.59,-,-,-,301000,246000,301000,368000,301000,301000,246000,301000,301000,246000,246000,246000
discount shoes,0.89,368000,-,246000,1.02,-,-,-,201000,201000,201000,246000,246000,246000,301000,246000,246000,246000,246000,246000
alegria shoes,1,49500,-,40500,0.58,-,-,-,40500,40500,40500,49500,40500,49500,40500,40500,40500,40500,33100,33100
chacos,0.93,90500,-,60500,0.7,-,-,-,110000,110000,74000,74000,49500,27100,27100,27100,33100,49500,60500,90500
skate shoes,0.73,368000,-,201000,0.77,-,-,-,135000,165000,165000,201000,201000,201000,246000,201000,165000,165000,246000,201000
vans store,0.29,135000,-,60500,0.34,-,-,-,-,49500,60500,60500,60500,74000,110000,74000,49500,49500,74000,60500
prom shoes,0.76,90500,-,74000,0.72,-,-,-,22200,110000,201000,201000,90500,60500,22200,22200,27100,40500,22200,18100
chaco,0.76,1500000,-,201000,0.75,-,-,-,301000,246000,246000,201000,165000,135000,110000,135000,135000,165000,201000,246000
kids shoes,0.91,823000,-,450000,1.01,-,-,-,450000,450000,450000,550000,450000,450000,550000,550000,450000,450000,550000,450000
shoe station,0.24,49500,-,49500,0.24,-,-,-,40500,49500,49500,60500,40500,49500,74000,60500,40500,40500,40500,40500
minnetonka moccasins,0.97,60500,-,49500,1.04,-,-,-,33100,33100,33100,40500,49500,49500,110000,90500,74000,60500,49500,33100
barefoot shoes,0.63,135000,-,110000,1.16,-,-,-,110000,135000,165000,135000,90500,90500,110000,110000,90500,90500,110000,74000
supras,0.4,165000,-,90500,0.75,-,-,-,74000,90500,90500,110000,110000,90500,90500,74000,74000,74000,74000,60500
mephisto,0.8,450000,-,110000,1.99,-,-,-,110000,110000,110000,110000,90500,90500,90500,90500,90500,90500,110000,110000
hiking boots,0.88,246000,-,165000,1.13,-,-,-,135000,135000,135000,201000,165000,201000,201000,165000,165000,165000,135000,135000
wedges,0.71,1830000,-,1000000,1.02,-,-,-,1220000,1220000,1220000,1500000,1220000,1000000,823000,823000,823000,823000,823000,823000
new balance outlet,0.74,49500,-,40500,1.22,-,-,-,33100,33100,40500,49500,33100,40500,40500,40500,40500,40500,40500,40500
combat boots,0.73,301000,-,165000,1.25,-,-,-,135000,135000,165000,201000,201000,201000,201000,201000,201000,165000,135000,110000
clark shoes,0.95,165000,-,90500,0.92,-,-,-,74000,74000,74000,90500,90500,90500,110000,110000,90500,90500,74000,60500
clogs,0.84,1000000,-,550000,1.06,-,-,-,368000,368000,450000,550000,550000,673000,673000,673000,673000,550000,450000,368000
pediped,0.78,74000,-,49500,0.71,-,-,-,40500,49500,49500,60500,49500,49500,40500,60500,60500,60500,49500,33100
vince camuto,0.92,74000,-,60500,0.8,-,-,-,60500,74000,74000,74000,74000,60500,60500,60500,60500,60500,40500,33100
water shoes,0.97,135000,-,110000,1.22,-,-,-,201000,135000,110000,110000,90500,90500,60500,60500,60500,74000,135000,165000
naturalizer shoes,0.97,49500,-,40500,0.87,-,-,-,33100,40500,40500,49500,40500,40500,40500,40500,49500,40500,40500,40500
soccer shoes,0.93,450000,-,301000,0.94,-,-,-,301000,246000,301000,368000,301000,301000,301000,368000,301000,301000,368000,301000
best running shoes,0.37,165000,-,110000,1.28,-,-,-,135000,135000,135000,165000,110000,110000,90500,90500,90500,90500,110000,90500
baby shoes,0.77,368000,-,201000,0.92,-,-,-,165000,165000,201000,246000,246000,246000,201000,246000,246000,201000,201000,165000
espadrilles,0.96,301000,-,110000,1.09,-,-,-,201000,301000,201000,165000,90500,60500,33100,27100,27100,40500,60500,90500
simple shoes,0.69,60500,-,40500,0.65,-,-,-,33100,40500,40500,40500,33100,33100,40500,40500,40500,40500,40500,33100
bcbg shoes,0.97,40500,-,40500,0.85,-,-,-,27100,33100,40500,49500,40500,40500,33100,40500,40500,40500,33100,33100
franco sarto,1,90500,-,90500,0.97,-,-,-,60500,74000,74000,90500,74000,90500,110000,110000,110000,90500,60500,60500
dance shoes,0.82,450000,-,201000,1.05,-,-,-,201000,201000,201000,246000,246000,246000,165000,201000,201000,246000,201000,201000
bearpaw,0.3,246000,-,165000,0.63,-,-,-,49500,49500,49500,90500,135000,246000,450000,301000,165000,110000,74000,60500
k swiss,0.72,368000,-,135000,0.64,-,-,-,90500,110000,110000,165000,135000,135000,135000,110000,110000,165000,301000,90500
jordan heels,0.26,60500,-,49500,0.35,-,-,-,22200,33100,40500,60500,74000,60500,90500,110000,74000,14800,12100,9900
barefoot running shoes,0.93,33100,-,27100,1.16,-,-,-,27100,33100,33100,27100,22200,18100,27100,22200,18100,22200,49500,27100
brooks shoes,1,90500,-,60500,1.14,-,-,-,60500,60500,60500,74000,60500,60500,49500,60500,60500,60500,60500,60500
customize shoes,0.58,74000,-,60500,0.43,-,-,-,60500,74000,74000,90500,74000,74000,74000,74000,60500,49500,40500,40500
walking company,0.3,90500,-,90500,0.3,-,-,-,74000,74000,74000,74000,74000,110000,135000,110000,74000,74000,60500,60500
dress shoes,0.8,550000,-,368000,1.24,-,-,-,368000,368000,450000,450000,368000,368000,368000,368000,368000,368000,301000,301000
madden girl,0.62,74000,-,74000,0.63,-,-,-,49500,60500,60500,74000,74000,90500,110000,110000,90500,60500,60500,40500
air force ones,0.43,673000,-,301000,0.65,-,-,-,246000,301000,246000,368000,368000,368000,368000,301000,301000,301000,368000,246000
seychelles shoes,0.84,22200,-,18100,0.94,-,-,-,22200,27100,22200,22200,18100,18100,14800,14800,18100,18100,18100,14800
toddler shoes,0.98,201000,-,165000,1.1,-,-,-,110000,110000,135000,201000,165000,135000,135000,135000,165000,201000,165000,110000
red bottom shoes,0.62,40500,-,33100,0.78,-,-,-,-,49500,49500,49500,49500,40500,33100,33100,27100,18100,18100,18100
house of dereon,0.43,49500,-,27100,0.27,-,-,-,18100,22200,22200,27100,27100,27100,27100,27100,33100,27100,40500,27100
booties,0.43,823000,-,550000,1.02,-,-,-,301000,368000,368000,450000,550000,673000,823000,823000,673000,550000,450000,368000
gladiator sandals,0.93,135000,-,60500,0.85,-,-,-,90500,110000,90500,90500,60500,40500,22200,22200,49500,49500,60500,90500
birkenstock shoes,0.95,40500,-,27100,1.1,-,-,-,18100,14800,14800,18100,18100,22200,33100,27100,27100,33100,40500,49500
sofft shoes,1,27100,-,27100,1,-,-,-,-,22200,22200,22200,22200,22200,22200,27100,33100,33100,27100,22200
sperry top sider,0.95,201000,-,165000,0.93,-,-,-,201000,201000,201000,201000,165000,165000,246000,201000,135000,135000,165000,135000
miz mooz,0.82,49500,-,33100,0.76,-,-,-,27100,33100,33100,40500,33100,40500,49500,49500,49500,40500,27100,27100
oxford shoes,0.72,110000,-,60500,1.08,-,-,-,49500,60500,60500,74000,60500,74000,74000,74000,74000,74000,74000,49500
sperry topsider,0.95,201000,-,165000,0.95,-,-,-,165000,165000,201000,201000,165000,135000,201000,165000,135000,135000,165000,135000
saddle shoes,0.76,49500,-,40500,0.73,-,-,-,33100,33100,40500,49500,40500,40500,40500,40500,60500,49500,49500,40500
qupid shoes,0.99,22200,-,14800,0.48,-,-,-,14800,18100,18100,18100,18100,14800,14800,14800,14800,12100,9900,9900
sanuks,0.81,22200,-,18100,0.86,-,-,-,27100,22200,22200,22200,14800,14800,22200,22200,14800,14800,18100,14800
women shoes,0.89,2240000,-,1500000,1.24,-,-,-,1220000,1500000,1500000,1830000,1500000,1500000,1500000,1500000,1500000,1220000,1220000,1220000
lucchese,0.63,1000000,-,90500,1.1,-,-,-,74000,74000,74000,90500,110000,135000,135000,110000,90500,90500,74000,60500
birkenstock sandals,1,49500,-,27100,1.01,-,-,-,60500,49500,40500,33100,18100,12100,9900,8100,12100,18100,33100,33100
famousfootwear,0.27,673000,-,550000,0.18,-,-,-,550000,673000,550000,673000,450000,550000,823000,673000,550000,550000,673000,450000
volleyball shoes,1,60500,-,49500,1.02,-,-,-,40500,27100,27100,49500,49500,49500,40500,49500,40500,49500,90500,60500
brian atwood,0.74,49500,-,27100,1.02,-,-,-,18100,22200,27100,27100,33100,33100,27100,22200,27100,33100,27100,18100
jeffrey campbell shoes,0.89,33100,-,22200,0.99,-,-,-,27100,27100,27100,27100,22200,22200,18100,18100,22200,18100,18100,14800
military boots,0.83,165000,-,74000,1.45,-,-,-,49500,60500,60500,74000,74000,90500,90500,90500,90500,74000,60500,49500
naot shoes,1,27100,-,22200,1.52,-,-,-,22200,22200,18100,18100,14800,14800,14800,18100,27100,22200,27100,27100
cole hann,0.66,27100,-,22200,0.67,-,-,-,22200,22200,22200,22200,18100,22200,33100,27100,22200,22200,18100,18100
