Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
payment calculator,0.48,823000,-,673000,1.03,-,-,-,550000,550000,550000,673000,550000,673000,550000,550000,673000,550000,673000,673000
forex,0.61,7480000,-,823000,11.73,-,-,-,823000,673000,673000,823000,1000000,1000000,1000000,823000,823000,1000000,823000,823000
renters insurance,0.74,246000,-,246000,10.41,-,-,-,246000,246000,201000,246000,201000,246000,201000,201000,201000,201000,246000,246000
debt consolidation,0.85,673000,-,450000,19.2,-,-,-,368000,301000,301000,368000,450000,550000,450000,550000,450000,450000,450000,450000
interest calculator,0.49,550000,-,301000,1.36,-,-,-,246000,301000,301000,368000,301000,368000,301000,301000,301000,301000,246000,246000
bcbs,0.21,823000,-,673000,2.37,-,-,-,673000,673000,673000,823000,823000,823000,673000,673000,673000,673000,673000,550000
taxslayer,0.08,90500,-,90500,0.5,-,-,-,22200,27100,165000,165000,368000,301000,22200,12100,14800,9900,14800,14800
dow jones today,0.2,74000,-,60500,0.15,-,-,-,60500,49500,60500,74000,60500,60500,60500,74000,74000,60500,74000,90500
mutual funds,0.53,1830000,-,673000,10.38,-,-,-,550000,550000,673000,823000,823000,823000,673000,673000,673000,550000,550000,550000
erie insurance,0.45,110000,-,110000,4.45,-,-,-,135000,110000,110000,135000,110000,110000,110000,110000,110000,110000,90500,90500
credit cards for bad credit,1,301000,-,201000,3.79,-,-,-,246000,201000,165000,201000,201000,201000,246000,301000,201000,201000,201000,201000
savings bonds,0.2,550000,-,368000,2.56,-,-,-,368000,301000,301000,368000,368000,450000,368000,368000,301000,301000,368000,301000
mortgage calculator with taxes,0.48,90500,-,90500,1.03,-,-,-,135000,110000,74000,90500,90500,110000,74000,74000,90500,74000,90500,90500
medicare part d,0.71,135000,-,135000,5.4,-,-,-,90500,90500,90500,110000,110000,135000,246000,246000,165000,90500,74000,74000
first tennessee bank,0.07,135000,-,135000,1.73,-,-,-,165000,135000,135000,135000,135000,165000,165000,135000,135000,135000,135000,135000
iraqi dinar,0.34,368000,-,301000,1.57,-,-,-,450000,368000,368000,368000,301000,450000,368000,201000,165000,135000,110000,90500
fha,0.54,1000000,-,823000,4.13,-,-,-,823000,823000,823000,1000000,823000,823000,673000,823000,823000,823000,823000,823000
grants.gov,0.53,40500,-,40500,3.52,-,-,-,33100,33100,27100,33100,27100,40500,33100,49500,60500,49500,49500,49500
