Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
bluebook,0.27,4090000,-,4090000,0.13,-,-,-,4090000,4090000,4090000,5000000,4090000,4090000,3350000,3350000,3350000,4090000,4090000,4090000
wall decals,1,823000,-,550000,0.85,-,-,-,550000,450000,450000,550000,550000,550000,450000,550000,450000,450000,550000,550000
suboxone,0.19,368000,-,301000,1.83,-,-,-,301000,301000,301000,368000,301000,301000,301000,301000,301000,301000,246000,246000
graco,0.49,1830000,-,823000,0.7,-,-,-,823000,823000,823000,1000000,823000,1000000,673000,823000,1000000,823000,823000,823000
divorce,0.32,7480000,-,5000000,4.43,-,-,-,-,-,4090000,5000000,5000000,5000000,5000000,6120000,5000000,5000000,4090000,4090000
girls names,0.14,4090000,-,1830000,0.24,-,-,-,2240000,1830000,1830000,2240000,1830000,2240000,1830000,1830000,1830000,1830000,1500000,1500000
crayola,0.23,550000,-,368000,0.42,-,-,-,301000,301000,368000,301000,301000,301000,673000,550000,368000,246000,301000,246000
aclu,0.13,301000,-,201000,0.46,-,-,-,201000,201000,201000,201000,201000,201000,201000,246000,201000,201000,165000,165000
baby shower favors,0.91,301000,-,301000,1.1,-,-,-,301000,301000,246000,301000,301000,368000,165000,201000,246000,301000,301000,246000
unique baby names,0.19,201000,-,135000,0.29,-,-,-,135000,110000,110000,135000,135000,165000,165000,135000,135000,135000,110000,135000
chinese birth chart,0.32,110000,-,90500,0.35,-,-,-,60500,60500,60500,74000,74000,110000,90500,90500,90500,90500,110000,110000
horoscopes for today,0.18,550000,-,246000,0.31,-,-,-,165000,201000,165000,201000,201000,368000,246000,246000,246000,246000,246000,201000
math help,0.5,246000,-,201000,1.39,-,-,-,135000,201000,201000,246000,246000,301000,201000,246000,246000,301000,165000,90500
baby einstein,0.4,368000,-,165000,0.44,-,-,-,165000,165000,165000,201000,165000,201000,201000,201000,165000,165000,165000,165000
boys names,0.16,2740000,-,1500000,0.26,-,-,-,1500000,1500000,1500000,1500000,1500000,1830000,1500000,1220000,1220000,1220000,1220000,1220000
diaper bags,0.85,550000,-,450000,0.86,-,-,-,450000,450000,450000,550000,550000,550000,368000,450000,450000,450000,450000,450000
girl scouts,0.11,1220000,-,1000000,0.46,-,-,-,673000,823000,1000000,1500000,1830000,2240000,550000,823000,1000000,1000000,550000,450000
haiti earthquake,0.23,368000,-,201000,1.37,-,-,-,74000,165000,201000,550000,201000,301000,165000,201000,165000,165000,74000,74000
