Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
bailey boys,0.31,14800,-,12100,0.28,-,-,-,8100,8100,9900,14800,12100,12100,9900,12100,12100,12100,12100,9900
infant dresses,0.96,110000,-,90500,0.93,-,-,-,60500,60500,74000,110000,110000,110000,90500,110000,110000,110000,90500,74000
girls holiday dresses,0.99,12100,-,9900,1.16,-,-,-,720,480,720,1900,2900,3600,27100,49500,27100,9900,3600,1900
christening outfits,1,165000,-,90500,0.92,-,-,-,74000,74000,74000,110000,90500,110000,60500,74000,74000,90500,90500,74000
easter dresses for girls,1,18100,-,14800,0.99,-,-,-,2400,2400,49500,74000,33100,14800,3600,2400,2400,1900,2400,2400
kate mack,0.87,27100,-,14800,0.64,-,-,-,14800,14800,14800,22200,22200,22200,12100,12100,9900,12100,12100,12100
mud pie baby,0.82,9900,-,9900,0.32,-,-,-,6600,6600,8100,12100,12100,9900,8100,12100,9900,8100,8100,8100
girls easter dresses,1,18100,-,14800,1.09,-,-,-,2400,2400,49500,74000,33100,14800,3600,2400,2400,1900,2400,2400
birthday dresses,0.88,74000,-,60500,0.82,-,-,-,49500,49500,49500,74000,74000,90500,40500,49500,49500,49500,60500,49500
christening dresses,1,165000,-,90500,0.96,-,-,-,74000,74000,74000,110000,90500,135000,60500,74000,74000,90500,90500,74000
bonnie jean,0.59,33100,-,22200,0.54,-,-,-,18100,18100,27100,40500,27100,22200,27100,33100,27100,18100,14800,14800
preemie baby clothes,0.99,5400,-,4400,0.76,-,-,-,3600,4400,4400,4400,4400,3600,3600,3600,4400,4400,4400,3600
biscotti dresses,1,8100,-,8100,0.72,-,-,-,3600,4400,6600,12100,9900,8100,6600,9900,9900,6600,5400,4400
baby nay,0.81,6600,-,5400,0.58,-,-,-,4400,4400,6600,5400,5400,5400,3600,5400,5400,5400,6600,6600
ooh la la couture,0.83,8100,-,5400,0.58,-,-,-,4400,4400,5400,6600,6600,8100,4400,5400,5400,5400,6600,6600
glitz pageant dresses,0.68,8100,-,8100,0.36,-,-,-,12100,4400,5400,9900,14800,12100,4400,2900,4400,5400,6600,9900
baby boutiques online,0.91,9900,-,5400,1.01,-,-,-,4400,3600,4400,6600,6600,6600,4400,4400,5400,5400,5400,5400
baby boy clothing,0.95,90500,-,60500,1.09,-,-,-,60500,49500,60500,90500,74000,74000,49500,60500,49500,49500,60500,49500
pageant dresses for little girls,0.99,9900,-,8100,0.58,-,-,-,8100,6600,8100,14800,14800,12100,4400,5400,5400,6600,6600,8100
oobi,0.04,40500,-,22200,0.23,-,-,-,27100,22200,22200,27100,22200,22200,22200,18100,18100,22200,22200,22200
hartstrings,0.42,14800,-,14800,0.26,-,-,-,12100,9900,14800,22200,14800,14800,12100,18100,14800,14800,12100,9900
easter dresses,0.93,74000,-,74000,0.95,-,-,-,8100,8100,246000,301000,135000,60500,14800,9900,9900,9900,9900,9900
organic clothing,0.87,110000,-,60500,1.35,-,-,-,40500,40500,49500,60500,60500,74000,74000,74000,74000,60500,60500,49500
zutano,0.73,22200,-,18100,0.78,-,-,-,14800,14800,18100,18100,18100,18100,14800,18100,22200,18100,18100,12100
hemp clothing,0.76,33100,-,22200,0.63,-,-,-,18100,18100,18100,22200,22200,22200,22200,22200,22200,18100,18100,18100
tutu dresses,0.63,49500,-,40500,0.7,-,-,-,33100,40500,40500,60500,40500,49500,27100,33100,49500,40500,27100,27100
designer baby clothes,0.94,60500,-,22200,1.33,-,-,-,14800,14800,18100,22200,27100,27100,27100,27100,22200,27100,27100,22200
girls clothes,0.73,1500000,-,823000,1.01,-,-,-,673000,673000,673000,1000000,823000,823000,823000,823000,823000,673000,673000,673000
childrens clothes,0.79,1000000,-,450000,1.1,-,-,-,301000,301000,368000,550000,550000,550000,550000,550000,550000,450000,450000,368000
baby dresses,0.84,1220000,-,673000,1.02,-,-,-,550000,550000,550000,823000,823000,823000,673000,823000,673000,673000,673000,550000
lulu clothing,0.32,33100,-,22200,0.31,-,-,-,22200,27100,27100,33100,27100,27100,18100,18100,18100,18100,14800,14800
cute baby clothes,0.93,27100,-,22200,1.1,-,-,-,18100,18100,18100,27100,22200,22200,18100,18100,22200,22200,18100,18100
little girls dresses,0.98,74000,-,60500,0.99,-,-,-,49500,49500,60500,90500,74000,74000,49500,60500,49500,49500,49500,40500
baby clothes online,0.93,49500,-,14800,1.35,-,-,-,12100,9900,14800,18100,14800,14800,14800,14800,14800,12100,12100,12100
preemie clothes,0.98,22200,-,18100,0.72,-,-,-,18100,14800,14800,18100,18100,22200,18100,22200,18100,18100,14800,18100
funny baby clothes,0.84,22200,-,14800,0.46,-,-,-,14800,14800,14800,18100,14800,18100,18100,18100,18100,18100,18100,18100
christmas dresses,0.79,110000,-,74000,1.1,-,-,-,9900,5400,5400,9900,9900,18100,246000,368000,165000,60500,33100,18100
newborn baby clothes,0.85,1000000,-,550000,1.01,-,-,-,368000,368000,450000,550000,550000,550000,450000,550000,550000,550000,450000,450000
baby onesies,0.78,60500,-,49500,0.86,-,-,-,49500,49500,49500,74000,60500,60500,40500,49500,49500,49500,49500,49500
carters baby clothes,0.52,14800,-,9900,0.42,-,-,-,8100,6600,8100,12100,9900,9900,9900,12100,12100,12100,12100,12100
pedipeds,0.79,60500,-,40500,0.73,-,-,-,33100,40500,40500,49500,40500,33100,27100,40500,49500,49500,40500,27100
boys clothing,0.83,823000,-,368000,1.09,-,-,-,301000,301000,368000,550000,450000,450000,450000,450000,368000,368000,368000,368000
cool baby clothes,0.92,18100,-,9900,0.93,-,-,-,8100,8100,8100,9900,12100,12100,9900,9900,9900,9900,12100,9900
smocked dresses,0.89,60500,-,40500,0.69,-,-,-,33100,27100,40500,60500,60500,49500,33100,49500,49500,49500,40500,40500
organic bedding,0.98,74000,-,49500,2.81,-,-,-,49500,49500,40500,60500,60500,74000,49500,49500,49500,49500,49500,49500
baby clothing stores,0.74,49500,-,33100,1.37,-,-,-,27100,22200,27100,49500,40500,40500,33100,40500,40500,33100,33100,27100
flower girl shoes,1,18100,-,9900,1,-,-,-,12100,12100,12100,14800,9900,9900,5400,6600,8100,12100,12100,12100
dresses for girls,0.88,1830000,-,1000000,1.02,-,-,-,823000,823000,1000000,1220000,1220000,1220000,823000,1000000,1000000,823000,823000,823000
baptism dresses,1,110000,-,60500,0.97,-,-,-,60500,60500,60500,74000,74000,90500,40500,49500,60500,60500,60500,60500
dollie and me,0.72,12100,-,9900,0.38,-,-,-,5400,5400,8100,9900,8100,12100,27100,22200,8100,4400,4400,2900
baby lulu,0.58,12100,-,8100,0.56,-,-,-,6600,6600,8100,9900,9900,12100,6600,8100,8100,9900,9900,8100
trendy baby clothes,0.89,12100,-,9900,1.08,-,-,-,8100,6600,8100,9900,12100,12100,9900,9900,9900,9900,9900,9900
baby tutus,0.94,12100,-,12100,0.5,-,-,-,9900,9900,12100,14800,12100,14800,8100,12100,12100,12100,12100,9900
onesies for babies,0.9,12100,-,9900,0.98,-,-,-,9900,9900,9900,12100,9900,12100,8100,9900,9900,9900,9900,8100
baby girl clothing,0.97,110000,-,74000,1.03,-,-,-,60500,60500,60500,90500,90500,90500,60500,74000,74000,60500,60500,49500
ivory flower girl dresses,1,8100,-,6600,1.19,-,-,-,6600,6600,6600,9900,8100,8100,2900,3600,3600,4400,6600,6600
tutus for girls,0.9,12100,-,9900,0.57,-,-,-,8100,9900,9900,12100,9900,9900,8100,9900,9900,9900,8100,6600
toddler girl shoes,0.94,18100,-,14800,1.18,-,-,-,9900,9900,14800,22200,14800,12100,12100,14800,18100,18100,14800,9900
cool baby gifts,0.91,5400,-,3600,1.13,-,-,-,2400,2400,2900,2900,3600,3600,3600,3600,3600,3600,3600,4400
organic sheets,0.95,33100,-,27100,1.92,-,-,-,22200,22200,22200,27100,27100,33100,27100,27100,27100,22200,27100,27100
le top,0.3,246000,-,33100,0.98,-,-,-,33100,33100,33100,60500,49500,40500,27100,33100,33100,27100,27100,27100
mismatched socks,0.69,4400,-,3600,0.75,-,-,-,1900,2400,2900,3600,3600,4400,9900,9900,3600,2400,1600,1300
sophias style,0.22,6600,-,5400,0.12,-,-,-,4400,4400,6600,8100,6600,6600,4400,5400,5400,4400,4400,3600
wholesale baby clothes,0.93,40500,-,14800,1.12,-,-,-,12100,12100,14800,18100,18100,18100,14800,14800,14800,14800,14800,14800
rare editions,0.68,14800,-,12100,0.54,-,-,-,8100,9900,14800,18100,12100,12100,9900,14800,12100,9900,9900,6600
baby gifts for girls,1,27100,-,18100,1.43,-,-,-,18100,14800,14800,18100,18100,22200,18100,18100,14800,18100,14800,14800
infant christmas dresses,1,4400,-,4400,1.09,-,-,-,720,320,260,480,590,720,8100,22200,12100,5400,2900,1600
easter dresses for women,0.87,4400,-,4400,1.21,-,-,-,320,260,27100,14800,4400,1300,320,210,210,210,260,210
first communion dress,1,49500,-,33100,0.86,-,-,-,8100,27100,74000,90500,74000,74000,12100,12100,14800,12100,8100,6600
christening gown,1,165000,-,90500,0.87,-,-,-,90500,90500,90500,110000,110000,135000,60500,74000,90500,90500,90500,90500
designer baby,0.74,201000,-,74000,1.24,-,-,-,49500,74000,74000,90500,90500,90500,74000,90500,74000,60500,60500,60500
mud pie baby clothes,0.9,3600,-,2900,0.39,-,-,-,1600,1600,1900,3600,3600,3600,2900,5400,4400,3600,3600,2900
wee squeak,0.79,4400,-,4400,0.49,-,-,-,2900,5400,5400,6600,4400,4400,3600,4400,4400,5400,4400,2400
big sister gifts,0.91,6600,-,4400,0.71,-,-,-,3600,3600,3600,5400,4400,5400,4400,4400,4400,4400,4400,3600
deux par deux,0.63,110000,-,6600,0.48,-,-,-,3600,2900,3600,5400,5400,8100,6600,9900,9900,9900,8100,5400
toddler girl clothes,1,18100,-,14800,1.12,-,-,-,9900,8100,12100,22200,18100,18100,14800,18100,18100,14800,14800,9900
princess dresses for girls,1,9900,-,6600,0.75,-,-,-,5400,5400,5400,8100,6600,6600,5400,5400,8100,6600,5400,4400
children clothes,0.81,1500000,-,673000,1.08,-,-,-,550000,550000,550000,823000,823000,823000,823000,823000,823000,823000,673000,673000
organic cotton sheets,1,5400,-,4400,2.08,-,-,-,3600,3600,3600,4400,3600,4400,4400,4400,4400,4400,4400,4400
organic clothes,0.91,110000,-,60500,1.46,-,-,-,40500,49500,49500,60500,74000,74000,74000,74000,74000,60500,60500,60500
organic cotton fabric,0.87,8100,-,4400,0.69,-,-,-,4400,4400,4400,5400,5400,5400,4400,5400,5400,4400,4400,4400
pediped shoes,0.9,6600,-,4400,0.76,-,-,-,2900,3600,3600,5400,4400,4400,3600,4400,4400,5400,3600,2400
holiday dresses for girls,0.99,12100,-,9900,1.22,-,-,-,720,480,720,1900,2900,3600,27100,49500,27100,9900,3600,1900
communion dress,1,135000,-,74000,0.91,-,-,-,18100,49500,135000,201000,165000,165000,27100,27100,33100,27100,22200,18100
baby boy hats,0.92,12100,-,8100,0.96,-,-,-,8100,8100,8100,12100,9900,9900,8100,9900,9900,8100,6600,5400
godmother gifts,0.94,18100,-,9900,0.98,-,-,-,8100,12100,9900,9900,9900,9900,14800,12100,9900,9900,9900,8100
carters baby,0.6,49500,-,27100,0.47,-,-,-,27100,22200,27100,33100,33100,33100,27100,33100,33100,33100,33100,27100
best dressed kids,0.29,4400,-,2900,0.2,-,-,-,2400,2400,2900,3600,3600,3600,2900,3600,3600,3600,3600,2900
joan calabrese,0.61,5400,-,4400,0.47,-,-,-,3600,3600,5400,8100,9900,9900,1900,2400,2400,2400,2900,2400
